name,source_facility_type,city,full_address,postal_code,provider
La Verendrye School #1837,"K to 8 English, French: Communication and Culture - Grades 4-12",Portage La Prairie,500 - 7th Avenue N.W.,R1N 0A5,Province of Manitoba
Norquay Colony School #2040,K to 12 English,Portage La Prairie,C/O Portage La Prarie Sd 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
North Memorial School #1849,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Portage La Prairie,410 - 6th Avenue N.E.,R1N 0B4,Province of Manitoba
Northern Breeze Colony School #2134,K to 12 English,Portage La Prairie,C/O Portage La Prairie Sd 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
Oakville School #1237,"K to 8 English, French: Communication and Culture - Grades 4-12",Oakville,Box 130,R0H 0Y0,Province of Manitoba
Portage Collegiate Institute #1029,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Portage La Prairie,65 - 3rd Street S.W.,R1N 2B6,Province of Manitoba
Sommerfeld Colony School #1757,K to 12 English,Portage La Prairie,Sommerfeld Colony (High Bluff) 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
Sunnyside School #1055,K to 12 English,Portage La Prairie,Sunnyside Colony 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
Westroc School #2063,K to 12 English,Portage La Prairie,C/O Portage La Prairie Sd 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
Woodland Colony School #1003,K to 12 English,Portage La Prairie,Woodland Colony (Poplar Point) 65 - 3rd Street Sw,R1N 2B6,Province of Manitoba
Yellowquill School #1858,"K to 8 English, French: Communication and Culture - Grades 4-12",Portage La Prairie,Box 1000,R1N 3C4,Province of Manitoba
cole Arthur Meighen School #1142,"5 to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Portage La Prairie,201 River Road,R1N 3W2,Province of Manitoba
cole Crescentview School #1634,"K to 4 Early Immersion, English, French: Communication and Culture - Grades 4-12",Portage La Prairie,751 Crescent Road East,R1N 0Y2,Province of Manitoba
Barrickman Colony School #1871,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Blooming Prairie Colony School #2276,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Bon Homme Colony School #1422,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Boyne View School #1230,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Carman Collegiate #1800,"6 to 12 English, French: Communication and Culture - Grades 4-12",Carman,Box 1510,R0G 0J0,Province of Manitoba
Carman Elementary #1872,"K to 5 Early Immersion, English, French: Communication and Culture - Grades 4-12",Carman,Box 1510,R0G 0J0,Province of Manitoba
Clearview Colony School #1369,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Eagle Creek Colony School #2312,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Elm Creek School #1289,"K to 12 English, French: Communication and Culture - Grades 4-12",Elm Creek,Box 40,R0G 0N0,Province of Manitoba
Huron Colony School #1527,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Iberville Colony School #1751,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
James Valley Colony School #1052,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Lakeside Colony School #1053,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Maple Creek School #1290,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Maxwell Colony School #1642,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Miami School #1514,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Miami,Box 220,R0G 1H0,Province of Manitoba
Midland Adult Education Centre #2170,9 to 12 English,Carman,72 Main Street South Box 2060,R0G 0J0,Province of Manitoba
Roland Elementary #1581,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Roland,Box 93,R0G 1T0,Province of Manitoba
Rosebank Colony School #2033,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Rosedale Colony School #1722,K to 12 English,Elie,Box 56 #3 Pr 248 South,R0H 0H0,Province of Manitoba
Baldur School #1439,K to 12 English,Baldur,Box 340,R0K 0B0,Province of Manitoba
Boyne Valley School #1092,K to 12 English,Holland,Oak Ridge Colony Box 279,R0G 0X0,Province of Manitoba
Cartwright School #2072,K to 11 English,Cartwright,General Delivery,R0K 0L0,Province of Manitoba
Crystal City Early Years School #1445,K to 3 English,Crystal City,Box 220,R0K 0N0,Province of Manitoba
Evergreen Colony School #1559,K to 12 English,Somerset,Evergreen Colony Box 297,R0G 2L0,Province of Manitoba
Fairholme Colony School #1635,K to 12 English,Portage La Prairie,Fairholme Colony Box 550,R1N 3B9,Province of Manitoba
Glenboro School #1909,K to 12 English,Glenboro,Box 550,R0K 0X0,Province of Manitoba
Harmony Colony School #2278,K to 12 English,Rathwell,Box 171,R0G 1S0,Province of Manitoba
Holland Elementary #1322,K to 8 English,Holland,Box 10,R0G 0X0,Province of Manitoba
Kamsley School #2047,K to 12 English,N.-D.-De-Lourdes,Box 403,R0G 1M0,Province of Manitoba
Manitou Elementary #1591,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Manitou,Box 66,R0G 1G0,Province of Manitoba
Nellie Mcclung Collegiate #1096,"7 to 12 English, French: Communication and Culture - Grades 4-12",Manitou,Box 339,R0G 1G0,Province of Manitoba
New Rosedale School #1348,K to 12 English,Portage La Prairie,New Rosedale Colony Box 460,R1N 3B7,Province of Manitoba
Pilot Mound School #1301,9 to 12 English,Pilot Mound,Box 299,R0G 1P0,Province of Manitoba
Prairie Mountain Elementary School #1553,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Swan Lake,Box 340,R0G 2S0,Province of Manitoba
Prairie Mountain High School #1370,"9 to 12 English, Partial Francais",Somerset,Box 250,R0G 2L0,Province of Manitoba
Sandy Bank School #1644,K to 12 English,Cypress River,General Delivery Cypress River Colony,R0K 0P0,Province of Manitoba
Shady Lane School #2084,K to 12 English,Treherne,Box 26,R0G 2V0,Province of Manitoba
Shamrock School #1977,K to 12 English,Baldur,Box 212,R0K 0B0,Province of Manitoba
St. Claude School Complex #1340,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12, Partial Francais",St. Claude,Box 250,R0G 1Z0,Province of Manitoba
Albright School #2052,K to 12 English,Morris,Oak Bluff Colony Box 819,R0G 1K0,Province of Manitoba
J. A. Cuddy Elementary #1771,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Sanford,Box 148,R0G 2J0,Province of Manitoba
Lowe Farm School #1792,K to 8 English,Lowe Farm,Box 250,R0G 1E0,Province of Manitoba
Morris School #1084,K to 12 English,Morris,Box 548,R0G 1K0,Province of Manitoba
Oak Bluff Community School #1893,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Oak Bluff,155 Agri Park Road,R4G 0A5,Province of Manitoba
Peace Valley School #1069,K to 12 English,Starbuck,Homewood Colony,R0G 2P0,Province of Manitoba
Rosenort School #1579,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Rosenort,Box 70,R0G 1W0,Province of Manitoba
Sanford Collegiate #1191,"9 to 12 English, French: Communication and Culture - Grades 4-12",Sanford,Box 70 130 Blythefield Road,R0G 2J0,Province of Manitoba
Starbuck School #1633,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Starbuck,Box 10,R0G 2P0,Province of Manitoba
Suncrest Colony School #1299,K to 12 English,Tourond,Box 4,R0A 2G0,Province of Manitoba
Vermillion Colony School #1944,K to 12 English,Sanford,Vermillion Colony Box 238,R0G 2J0,Province of Manitoba
cole Hritage Immersion #1824,M to 12 Early Immersion,St. Pierre-Jolys,Case Postale 489,R0A 1V0,Province of Manitoba
cole Saint-Malo School #1035,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12, Partial Francais",St. Malo,P.O. Box 190,R0A 1T0,Province of Manitoba
Angus Mckay School #1621,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,850 Woodvale Street,R2K 2G8,Province of Manitoba
Arthur Day Middle School #1762,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,43 Whitehall Boulevard,R2C 0Y3,Province of Manitoba
Bernie Wolfe School #1869,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12, Ukrainian",Winnipeg,95 Bournais Drive,R2C 3Z2,Province of Manitoba
Bertrun E. Glavin School #1139,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,166 Antrim Road,R2K 3L2,Province of Manitoba
Bird's Hill School #1367,"K to 5 English, French: Communication and Culture - Grades 4-12",East St. Paul,3950 Raleigh Street,R2E 0G9,Province of Manitoba
Chief Peguis Middle School #1805,"6 to 8 English, French: Communication and Culture - Grades 4-12, German, Ukrainian",Winnipeg,1400 Rothesay Street,R2G 1V2,Province of Manitoba
Collge Miles Macdonell Collegiate #1233,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12, Late Immersion",Winnipeg,757 Roch Street,R2K 2R1,Province of Manitoba
Collge Pierre-Elliott-Trudeau #2032,9 to 12 Early Immersion,Winnipeg,216 Rue Redonda,R2C 1L6,Province of Manitoba
Donwood School #1747,"K to 5 English, French: Communication and Culture - Grades 4-12, German",Winnipeg,400 Donwood Drive,R2G 0X4,Province of Manitoba
Dr. F.W.L. Hamilton School #1109,"K to 5 English, French: Communication and Culture - Grades 4-12",East St. Paul,3225 Henderson Hwy,R2E 0J2,Province of Manitoba
Emerson School #1748,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,323 Emerson Street,R2G 1G3,Province of Manitoba
Hampstead School #1519,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,920 Hampstead Avenue,R2K 2A3,Province of Manitoba
Harold Hatcher School #1776,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,500 Redonda Street,R2C 3T7,Province of Manitoba
John De Graff School #1265,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,1020 Louelda Street,R2K 3Z4,Province of Manitoba
John G. Stewart School #2136,5 to 12 English,Winnipeg,2069 Henderson Highway,R2G 1P7,Province of Manitoba
John Pritchard School #1556,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1490 Henderson Highway,R2G 1N5,Province of Manitoba
John W. Gunn Middle School #1663,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,351 Harold Avenue West,R2C 2C9,Province of Manitoba
Joseph Teres School #1992,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,131 Sanford Fleming Drive,R2C 5B8,Province of Manitoba
Kildonan-East Collegiate #1847,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,845 Concordia Avenue,R2K 2M6,Province of Manitoba
Lord Wolseley School #1011,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,939 Henderson Hwy,R2K 2M2,Province of Manitoba
Cool Spring Colony School #1163,K to 12 English,Minnedosa,Cool Spring Colony Box 1015,R0J 1E0,Province of Manitoba
Deerboine Colony School #1728,K to 12 English,Alexander,Deerboine Colony R. R. #1,R0K 0A0,Province of Manitoba
Douglas Elementary #1169,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Douglas,Box 197,R0K 0R0,Province of Manitoba
Elton Collegiate #1723,"9 to 12 English, French: Communication and Culture - Grades 4-12",Forrest,205 Hillman Avenue,R0K 0W0,Province of Manitoba
Erickson Collegiate Institute #1818,"7 to 12 English, French: Communication and Culture - Grades 4-12",Erickson,Box 370,R0J 0P0,Province of Manitoba
Erickson Elementary #1918,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Erickson,General Delivery,R0J 0P0,Province of Manitoba
Forrest Elementary #1876,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Forrest,General Delivery,R0K 0W0,Province of Manitoba
Glendale School #1679,K to 12 English,Justice,Hillside Colony General Delivery,R0K 1C0,Province of Manitoba
Minnedosa Adult Learning Centre #2182,9 to 12 English,Minnedosa,Box 1170,R0J 1E0,Province of Manitoba
Minnedosa Collegiate #1501,"9 to 12 English, French: Communication and Culture - Grades 4-12",Minnedosa,Box 1230,R0J 1E0,Province of Manitoba
Oak River Colony School #2139,K to 12 English,Oak River,Box 38,R0K 1T0,Province of Manitoba
Oak River Elementary #1158,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Oak River,Box 89,R0K 1T0,Province of Manitoba
Onanole Elementary #1924,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Onanole,Box 8,R0J 1N0,Province of Manitoba
Rapid City School #1324,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Rapid City,Box 100,R0K 1W0,Province of Manitoba
Rivers Collegiate #1794,"7 to 12 English, French: Communication and Culture - Grades 4-12",Rivers,Box 519,R0K 1X0,Province of Manitoba
Rivers Elementary #1636,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Rivers,Box 610,R0K 1X0,Province of Manitoba
Tanner's Crossing School #1560,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Minnedosa,Box 1110,R0J 1E0,Province of Manitoba
Westview Colony School #2297,K to 12 English,Newdale,Box 250,R0J 1J0,Province of Manitoba
Arborgate School #1649,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12, Intensive French (English Program)",La Broquerie,71 Normandeau Bay,R0A 0W0,Province of Manitoba
Collge Lorette Collegiate #1115,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Lorette,1082 Dawson Road,R5K 0S8,Province of Manitoba
Collge Saint-Norbert Collegiate #1475,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",St. Norbert,870 Ste. Therese Avenue,R3V 1H8,Province of Manitoba
Dawson Trail School #1316,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Lorette,P.O. Box 70 425 Senez Street,R5K 1E3,Province of Manitoba
La Barriere Crossings School #2115,"5 to 8 English, French: Communication and Culture - Grades 4-12",St. Norbert,245 Lemaire Street,R3V 1M2,Province of Manitoba
La Salle School #1785,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",La Salle,43 Beaudry Street,R0G 0A1,Province of Manitoba
Parc La Salle School #1716,"K to 4 Early Start French, English, French: Communication and Culture - Grades 4-12",St. Norbert,190 Houde Drive,R3V 1C5,Province of Manitoba
Richer School #1600,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Richer,Box 9 Dawson Road,R0E 1S0,Province of Manitoba
Ste. Anne Adult Learning Centre #2176,9 to 12 English,Ste. Anne,Box 1113 34 Centrale Ave.,R5H 1C1,Province of Manitoba
Ste. Anne Collegiate #2089,"9 to 12 English, French: Communication and Culture - Grades 4-12",Ste Anne,197 St. Alphonse Avenue,R5H 1G3,Province of Manitoba
Ste. Anne Elementary School #1442,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Ste. Anne,177 St. Alphonse Avenue,R5H 1G3,Province of Manitoba
cole Lorette Immersion #2138,M to 8 Early Immersion,Lorette,475 Rue Senez,R5K 1E3,Province of Manitoba
cole Saint-Norbert Immersion #1622,M to 8 Early Immersion,St. Norbert,900 Avenue Sainte-Thérèse,R3V 1H8,Province of Manitoba
cole Sainte-Anne Immersion #1609,M to 8 Early Immersion,Ste. Anne,167 Avenue St-Alphonse,R5H 1G3,Province of Manitoba
cole St. Adolphe School #1632,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",St. Adolphe,444 La Seine Street,R5A 1C2,Province of Manitoba
cole le-Des-Chnes School #1702,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Ile Des Chenes,Box 520 455 D'Auteuil Street,R0A 0T0,Province of Manitoba
Adult Education Centres (Aec) Inc. #2180,9 to 12 English,Winnipeg,1747 Main Street,R2V 1Z6,Province of Manitoba
Amber Trails Community School #2294,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,1575 Templeton Avenue,R2P 2T5,Province of Manitoba
Arthur E. Wright Community School #1088,"K to 8 English, Filipino, French: Communication and Culture - Grades 4-12",Winnipeg,1520 Jefferson Avenue,R2P 1K1,Province of Manitoba
Collicutt School #1410,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,75 Cottingham Street,R2V 3B5,Province of Manitoba
Collge Garden City Collegiate #1564,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Winnipeg,711 Jefferson Avenue,R2V 0P7,Province of Manitoba
Edmund Partridge Community School #2259,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,1874 Main Street,R2V 2A6,Province of Manitoba
Elwick Community School #1639,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,30 Maberley Road,R2P 0B2,Province of Manitoba
Forest Park School #1050,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,130 Forest Park Drive,R2V 2R8,Province of Manitoba
Governor Semple School #1295,"K to 5 English, French: Communication and Culture - Grades 4-12",Winnipeg,150 Hartford Avenue,R2V 0V7,Province of Manitoba
H. C. Avery Middle School #1333,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,10 Marigold Bay,R2V 2M1,Province of Manitoba
James Nisbet Community School #1375,"K to 5 Early Immersion, English, French: Communication and Culture - Grades 4-12",Winnipeg,70 Doubleday Drive,R2P 0P4,Province of Manitoba
Maples Collegiate #1892,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,1330 Jefferson Avenue,R2P 1L3,Province of Manitoba
Maples Met School #2306,9 to 12 English,Winnipeg,1330 Jefferson Avenue,R2P 1L3,Province of Manitoba
Margaret Park School #1769,"K to 6 English, French: Communication and Culture - Grades 4-12",Winnipeg,385 Cork Avenue,R2V 1R6,Province of Manitoba
Met School #2298,9 to 12 English,Winnipeg,640 Jefferson Avenue,R2V 0P7,Province of Manitoba
O. V. Jewitt Elementary #1080,"K to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,66 Neville Street,R2P 1W3,Province of Manitoba
Riverbend Community School #2096,"K to 5 English, French: Communication and Culture - Grades 4-12, Ojibwe",Winnipeg,123 Red River Boulevard West,R2V 3X9,Province of Manitoba
Seven Oaks Adult Learning Centre #2244,9 to 12 English,Winnipeg,950 Jefferson Avenue,R2P 1W1,Province of Manitoba
Shkola R.F. Morrison School #1078,"K to 6 English, French: Communication and Culture - Grades 4-12, Ukrainian",Winnipeg,25 Morrison Street,R2V 3B3,Province of Manitoba
Urban Circle Training Centre Inc. #2195,9 to 12 English,Winnipeg,519 Selkirk Avenue,R2W 2M6,Province of Manitoba
Deloraine School #1594,"K to 12 English, French: Communication and Culture - Grades 4-12",Deloraine,Box 448,R0M 0M0,Province of Manitoba
Green Acres Colony School #2049,K to 8 English,Wawanesa,Box 190,R0K 2G0,Province of Manitoba
Hartney School #1153,K to 12 English,Hartney,Box 130,R0M 0X0,Province of Manitoba
Maple Grove Colony School #1372,K to 12 English,Lauder,Box 40,R0M 1C0,Province of Manitoba
Melita School #1385,"K to 12 English, French: Communication and Culture - Grades 4-12",Melita,Box 579,R0M 1L0,Province of Manitoba
Nature Valley Colony School #1186,K to 12 English,Wawanesa,Box 308,R0K 2G0,Province of Manitoba
Newdale Colony School #1772,K to 12 English,Souris,Box 396,R0K 2C0,Province of Manitoba
Oakland School #2314,K to 12 English,Carroll,Box 24,R0K 0K0,Province of Manitoba
Pierson School #1615,K to 12 English,Pierson,Box 250,R0M 1S0,Province of Manitoba
Souris River Colony School #1066,K to 12 English,Souris,Box 178,R0K 2C0,Province of Manitoba
Souris School #1250,K to 12 English,Souris,Box 639,R0K 2C0,Province of Manitoba
Waskada School #1458,K to 12 English,Waskada,Box 190,R0M 2E0,Province of Manitoba
Wawanesa School #1396,K to 12 English,Wawanesa,Box 310,R0K 2G0,Province of Manitoba
Athlone School #1466,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12, Intensive French (English Program)",Winnipeg,110 Athlone Drive,R3J 3L4,Province of Manitoba
Brooklands School #1524,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1950 Pacific Avenue W,R2R 0G4,Province of Manitoba
Bruce Middle School #1467,"6 to 8 English, French: Communication and Culture - Grades 4-12, Intensive French (English Program)",Winnipeg,333 Booth Drive,R3J 3M8,Province of Manitoba
Buchanan School #1167,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,815 Buchanan Boulevard,R2Y 1N1,Province of Manitoba
Collge Sturgeon Heights Collegiate #1135,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Winnipeg,2665 Ness Avenue,R3J 1A5,Province of Manitoba
Crestview School #1358,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,333 Morgan Crescent,R2Y 0C9,Province of Manitoba
Educational Support Services #1002,K to 12 English,Winnipeg,1 Braintree Crescent,R3J 1C7,Province of Manitoba
George Waters Middle School #2107,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,190 Ferry Road,R3J 1V7,Province of Manitoba
Golden Gate Middle School #1627,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,330 Bruce Avenue,R3J 0V8,Province of Manitoba
Hedges Middle School #1517,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,369 Fairlane Avenue,R2Y 0B6,Province of Manitoba
Heritage School #1760,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,47 Heritage Boulevard,R2Y 0N9,Province of Manitoba
Jameswood Alternative School #2260,9 to 12 English,Winnipeg,1 Braintree Crescent,R3J 1C7,Province of Manitoba
John Taylor Collegiate #1342,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,470 Hamilton Avenue,R2Y 0H4,Province of Manitoba
Lakewood School #1597,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,55 Kay Crescent,R2Y 1L1,Province of Manitoba
Lincoln Middle School #1307,"6 to 8 English, French: Communication and Culture - Grades 4-12",Winnipeg,3180 Mcbey Avenue,R3K 0T7,Province of Manitoba
Linwood School #1452,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,266 Linwood Street,R3J 2C6,Province of Manitoba
Phoenix School #1197,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Headingley,111 Alboro Street,R4J 1A3,Province of Manitoba
Sansome School #1655,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,181 Sansome Avenue,R3K 0N8,Province of Manitoba
St. James Collegiate #1781,"9 to 12 English, French: Communication and Culture - Grades 4-12",Winnipeg,1900 Portage Avenue,R3J 0J1,Province of Manitoba
Stevenson School #1506,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Winnipeg,1777 Silver Avenue,R3J 1B1,Province of Manitoba
Anola School #1027,"K to 8 Early Start French, English, French: Communication and Culture - Grades 4-12",Anola,30 Academy Street,R0E 0A0,Province of Manitoba
Centennial School #1361,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Lac Du Bonnet,Box 219,R0E 1A0,Province of Manitoba
Gillis School #1266,"K to 6 Early Start French, English, French: Communication and Culture - Grades 4-12",Tyndall,Box 1,R0E 2B0,Province of Manitoba
Grafton School #1094,K to 12 English,Anola,62078 Colony Road,R5L 0A7,Province of Manitoba
Gross Colony School #1881,K to 12 English,River Hills,Whiteshell Colony Box 65,R0E 1T0,Province of Manitoba
Hazelridge School #1531,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12",Hazelridge,38 Myrtle Street,R0E 0Y0,Province of Manitoba
Heartland Colony School #2106,K to 12 English,Hazelridge,Box 61,R0E 0Y0,Province of Manitoba
Hofer School #1809,K to 12 English,Beausejour,Box 3140 R. R. #3,R0E 0C0,Province of Manitoba
Lac Du Bonnet Senior #1012,7 to 12 English,Lac Du Bonnet,Box 908,R0E 1A0,Province of Manitoba
Oak Bank Elementary #1190,"K to 5 Early Start French, English, French: Communication and Culture - Grades 4-12, Ukrainian",Oakbank,826 Cedar Avenue,R0E 1J0,Province of Manitoba
Richland School #1352,K to 12 English,Dugald,"Ridgeland Colony R. R. #1, Box 508",R0E 0K0,Province of Manitoba
Springfield Collegiate #1485,"9 to 12 English, French: Communication and Culture - Grades 4-12",Oakbank,841 Cedar Avenue,R0E 1J1,Province of Manitoba
Springfield Middle School #1296,"6 to 8 English, French: Communication and Culture - Grades 4-12, Ukrainian",Oakbank,860 Cedar Avenue,R0E 1J0,Province of Manitoba
Springwell School #1692,K to 12 English,Lac Du Bonnet,"Brightstone Colony Box 880, Rr1",R0E 1A0,Province of Manitoba
Sunrise Adult Learning Centres Program #2239,9 to 12 English,Beausejour,Box 1778,R0E 0C0,Province of Manitoba
Whitemouth School #1699,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Whitemouth,Box 187,R0E 2G0,Province of Manitoba
cole Beausjour Early Years #1749,"K to 5 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Beausejour,Box 869,R0E 0C0,Province of Manitoba
cole Dugald School #1888,"K to 8 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Dugald,543 Holland Street,R0E 0K0,Province of Manitoba
cole Edward-Schreyer School #1360,"6 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Beausejour,Box 20,R0E 0C0,Province of Manitoba
cole Powerview School #1677,"K to 12 Early Immersion, Early Start French, English, French: Communication and Culture - Grades 4-12",Powerview,P.O. Box 157,R0E 1P0,Province of Manitoba
Benito School #1487,"K to 8 English, French: Communication and Culture - Grades 4-12",Benito,Box 430,R0L 0C0,Province of Manitoba
Bowsman School #1097,"K to 8 English, French: Communication and Culture - Grades 4-12",Bowsman,Box 248,R0L 0H0,Province of Manitoba
Heyes Elementary #1193,"K to 6 English, French: Communication and Culture - Grades 4-12",Swan River,Box 1000,R0L 1Z0,Province of Manitoba
Minitonas School #1535,"K to 8 English, French: Communication and Culture - Grades 4-12",Minitonas,Box 160,R0L 1G0,Province of Manitoba
Swan River Adult Education Inc. #2189,9 to 12 English,Swan River,Box 1330 128 - 5th Avenue North,R0L 1Z0,Province of Manitoba
Swan Valley Regional Secondary School #1576,"9 to 12 Early Immersion, English, French: Communication and Culture - Grades 4-12",Swan River,Box 5000,R0L 1Z0,Province of Manitoba
Taylor Elementary #1085,"K to 5 English, French: Communication and Culture - Grades 4-12",Swan River,Box 1269,R0L 1Z0,Province of Manitoba
cole Swan River South School #1390,"K to 8 Early Immersion, English, French: Communication and Culture - Grades 4-12",Swan River,Box 1059,R0L 1Z0,Province of Manitoba
Boissevain School #1521,K to 12 English,Boissevain,Box 1030,R0K 0E0,Province of Manitoba
Can Am Colony School #2238,K to 12 English,Margaret,Box 69,R0K 1J0,Province of Manitoba
Holmfield Colony School #1098,K to 12 English,Killarney,Holmfield Colony Box 927,R0K 1G0,Province of Manitoba
Killarney School #1828,"K to 12 Early Start French, English, French: Communication and Culture - Grades 4-12",Killarney,General Delivery,R0K 1G0,Province of Manitoba
Mayfair Colony School #1376,K to 12 English,Killarney,Mayfair Colony Box 1438,R0K 1G0,Province of Manitoba
Minto School #1471,K to 8 English,Minto,Box 174,R0K 1M0,Province of Manitoba
Turtle Mountain Adult Educ. Centre #2192,9 to 12 English,Killarney,Box 1556 410 Broadway Avenue,R0K 1G0,Province of Manitoba
Wellwood School #1844,K to 12 English,Killarney,Wellwood Colony Box 603,R0K 1G0,Province of Manitoba
