,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
6346,GARDERIE ÉDUCATIVE LIBELLULES ET PAPILLONS INC.,"3645, boulevard Saint-Joseph Est",3645 boulevard Saint-Joseph Est,3645,boulevard saint-joseph est,,Montréal,,Province of Quèbec
22942,Britters' Critters Daycare,4661 Wilson Rd,4661 Wilson Rd,4661,wilson rd,,Duncan,,Province of British Columbia
15703,Tiny Tots,Somerset Lane Medicine Hat AB,somerset lane ,,somerset lane,,Medicine Hat,Alberta,GoDayCare.com
18856,Horton High Child Care Centre,75 GREENWICH RD. S,75 GREENWICH RD S,75,greenwich rd s,,WOLFVILLE RIDGE,,Province of Nova Scotia
20043,West Cambie Childrens Centre,4033 Stolberg Road,4033 Stolberg Road,4033,stolberg road,,Richmond,,Province of British Columbia
8974,A-Z Daycare,,nan,1145,St.Pierre Street,,Orl√©ans,ON,Province of Ontario
21950,Sweet Smile Montessori Childcare,727 Prairie Ave,727 Prairie Ave,727,prairie ave,,Port Coquitlam,,Province of British Columbia
14293,Sandbox Daycare,,nan,424,18th Avenue,,Hanover,ON,Province of Ontario
20387,Rutland Parent Participation Preschool,705 Kitch Rd,705 Kitch Rd,705,kitch rd,,Kelowna,,Province of British Columbia
22975,Megans Puddle Jumpers,519 Acland Ave,519 Acland Ave,519,acland ave,,Victoria,,Province of British Columbia
20887,City Hall Child Care Society,2685 Cambie St,2685 Cambie St,2685,cambie st,,Vancouver,,Province of British Columbia
23262,Mount Pleasant Neighbourhood House Group Day Care,800 East Broadway,800 East Broadway,800,east broadway,,Vancouver,,Province of British Columbia
11585,Le Carrefour d'Ottawa,,nan,35,Melrose Avenue (French),,Ottawa,ON,Province of Ontario
16106,Funfer All Daycare,17th Ave Vernon BC,17th ave ,,17th ave,,Vernon,British Columbia,GoDayCare.com
1913,WAVERLEY DAY CARE CENTRE PROGRAM FOR SCHOOL AGED CHILDREN,6825 89 AVENUE,6825 89 AVENUE,6825,89 avenue,,EDMONTON,,Province of Alberta
17011,Muskoka Family Focus And Children's Place-Bracebridge Children's Place,2 Tamarack Trail Bracebridge ON,2 tamarack trail ,2,tamarack trail,,Bracebridge,Ontario,GoDayCare.com
7856,CENTRE DE LA PETITE ENFANCE LES BONHEURS DE SOPHIE INSTALLATION JOUVENCE,"2115, Terrasse Jouvence",2115 Terrasse Jouvence,2115,terrasse jouvence,,Sainte-Sophie,,Province of Quèbec
7819,GARDERIE CHEZ NANY,"363, rue Gauthier",363 rue Gauthier,363,rue gauthier,,Saint-Jérôme,,Province of Quèbec
9369,Briarcrest Child Care Centre,,nan,60,Wellesworth Drive,,Toronto,ON,Province of Ontario
3389,BRIGHTPATH COCHRANE,609 1ST STREET WEST,609 1ST STREET WEST,609,1st street west,,COCHRANE,,Province of Alberta
12770,PLASP - St. Mark Catholic School,,nan,3675,Sawmill Valley Drive,,Mississauga,ON,Province of Ontario
2549,CLEAR WATER ACADEMY OUT OF SCHOOL CARE PROGRAM,2550 - DIEPPE AVE SW,2550 DIEPPE AVE SW,2550,dieppe ave sw,,CALGARY,,Province of Alberta
13325,"La Coccinelle, Saint-Guillaume",,nan,5750,Buckland Chemin,,Vars,ON,Province of Ontario
7778,CENTRE DE LA PETITE ENFANCE LES LUTINS ENCHANTEURS,"393, côte Saint-Paul",393 côte Saint-Paul,393,côte saint-paul,,Saint-Colomban,,Province of Quèbec
16498,Bo-Peep Nursery And Daycare,27 Connemara Place St. John's NL,27 connemara place ,27,connemara place,,St. John's,Newfoundland And Labrador,GoDayCare.com
2403,WESTEND COMMUNITY PLAYSCHOOL PARENTS ASSOCIATION,15108 - 76 AVENUE,15108 76 AVENUE,15108,76 avenue,,EDMONTON,,Province of Alberta
1057,FOOTSTEPS PRESCHOOL,"SANDSTONE RM., 101 RANCHEHOUSE ROAD",SANDSTONE RM 101 RANCHEHOUSE ROAD,,sandstone rm 101 ranchehouse road,,COCHRANE,,Province of Alberta
3616,KIDLETS 1 OSC,852 119 STREET SW,852 119 STREET SW,852,119 street sw,,EDMONTON,,Province of Alberta
19265,Little People's Workshop - Smallwood,58 Smallwood Drive,58 Smallwood Drive,58,smallwood drive,,Mount Pearl,,Province of Newfoundland and Labrador
9190,Atscott Pre-School Academy,,nan,16945,Leslie Street,,Newmarket,ON,Province of Ontario
16638,St. Paul's Youth Ctr And Nursery School,293 Etter Road Lantz NS,293 etter road ,293,etter road,,Lantz,Nova Scotia,GoDayCare.com
2339,KIDS R FUN PRESCHOOL AND OUT OF SCHOOL CARE,"#102, 1000 - 8 AVE SW",#102 1000 8 AVE SW,1000,8 ave sw,#102,CALGARY,,Province of Alberta
15135,"Family ""Y"" First Base - Elgin Market",,nan,305,Queen Street,,Kincardine,ON,Province of Ontario
4910,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
6810,LES PETITS GÉNIES DE VERDUN INC.,"5365, boulevard LaSalle",5365 boulevard LaSalle,5365,boulevard lasalle,,Verdun,,Province of Quèbec
19042,The YMCA Association West Highlands Afterschool,18 MALTBY CRT.,18 MALTBY CRT,18,maltby crt,,AMHERST,,Province of Nova Scotia
24322,Smuyuq'wa' Lelum Ece Centre,4602 Blue Heron Dr,4602 Blue Heron Dr,4602,blue heron dr,,Tsawwassen,,Province of British Columbia
19536,Downtown Ymca-Ywca Childcare,851 Broughton Street,851 Broughton Street,851,broughton street,,Victoria,,Province of British Columbia
10823,Graydon Hall Child Care Services in Don Valley Business Park,,nan,150,Ferrand Drive,,Toronto,ON,Province of Ontario
22130,After School Warriors,201 - 22712 Dewdney Trunk Rd,201 22712 Dewdney Trunk Rd,201,dewdney trunk rd,,Maple Ridge,,Province of British Columbia
21648,Dobbs Family Daycare,2321 Bowen Rd,2321 Bowen Rd,2321,bowen rd,,Nanaimo,,Province of British Columbia
18910,First Friends Day Care Society,4 JUDY AVE.,4 JUDY AVE,4,judy ave,,LOWER SACKVILLE,,Province of Nova Scotia
21848,Puddle Jumpers Daycare,538 Midnight Dr,538 Midnight Dr,538,midnight dr,,Williams Lake,,Province of British Columbia
15631,"Day Care Terwillegar Early Years Day Home Close To Windermere, Riverbend,Am","6835,speaker vista nw edmonton Edmonton AB",6835speaker vista nw edmonton ,,6835speaker vista nw,,Edmonton,Alberta,GoDayCare.com
1929,ADVENTURERS SCHOOL AGE CARE LTD: ST. BRIGID,730 CITADEL WAY NW,730 CITADEL WAY NW,730,citadel way nw,,CALGARY,,Province of Alberta
16200,Le Paradis Des Petits Lt√©e,P.o.box 1098 Cap-Pel√© NB,"Pobox 1098 Cap Pel√© NB, Canada",,,,Cap-pele,New Brunswick,GoDayCare.com
13941,The Village Children's Programs - Sir Richard W. Scott School Age,,nan,90,Roxbury Street,,Markham,ON,Province of Ontario
18524,Garderie La La Land Inc.,13926 Ch. Saint-Simon Mirabel QC,13926 ch saint simon ,13926,ch saint simon,,Mirabel,Quebec,GoDayCare.com
9672,Caring For Kids-Castle Oak,,nan,155,Castle Oaks Crossing,,Brampton,ON,Province of Ontario
1635,FIRST LUTHERAN NURSERY SCHOOL,2925 - 57A AVENUE,2925 57A AVENUE,2925,57a avenue,,LLOYDMINSTER,,Province of Alberta
6025,GARDERIE AU COIN DES AMI(E)S,"8862, rue Hochelaga",8862 rue Hochelaga,8862,rue hochelaga,,Montréal,,Province of Quèbec
15658,High River DayCare,1006 11 Ave. SE High River AB,1006 11 ave se ,1006,11 ave se,,High River,Alberta,GoDayCare.com
21293,Little Angels Preschool Day Care,9731 No 3 Rd,9731 No 3 Rd,9731,no 3 rd,,Richmond,,Province of British Columbia
3937,Angela Peterson,"70 Hallet Avenue (Ave) Winnipeg, MB",70 hallet avenue ,70,hallet avenue,,,,Province of Manitoba
17209,St. Patrick's School Age Day Care Centre,1001 Promenade HÃ©ritage Clarence-Rockland ON,1001 promenade hã©ritage ,1001,promenade hã©ritage,,Clarence-rockland,Ontario,GoDayCare.com
16242,Creative Childcare,1691 Lincoln Rd Fredericton NB,1691 lincoln rd ,1691,lincoln rd,,Fredericton,New Brunswick,GoDayCare.com
18170,A And A Learning Centre,3030 Midland Ave Toronto ON,3030 midland ave ,3030,midland ave,,Toronto,Ontario,GoDayCare.com
20626,Three Little Pigs Daycare,7338 192 St,7338 192 St,7338,192 st,,Surrey,,Province of British Columbia
10433,Rutherford School,,nan,37,Jacob Keffer Parkway,,Maple,ON,Province of Ontario
2956,LA GARDERIE LES PETITS OURSONS,4617-50 AVE,4617 50 AVE,4617,50 ave,,ST. PAUL,,Province of Alberta
13006,Preschool Petit Bateau Inc. - Garderie Educative,,nan,385,Meadows Boulevard,,Mississauga,ON,Province of Ontario
15920,A-Mission Creek Family Daycare,Radant Rd Kelowna BC,radant rd ,,radant rd,,Kelowna,British Columbia,GoDayCare.com
14264,Wellington Street Day Care,,nan,27,Wellington Street,,Alliston,ON,Province of Ontario
4669,Growing Minds Child Care Inc.,"21-25 Main Street Niverville, MB",21 25 main street ,21 25,main street,,,,Province of Manitoba
17194,"Our Children, Our Future-Nos Enfants, Notre Avenir - Chelmsford Public Scho",121 Charlotte Street Chelmsford ON,121 charlotte street ,121,charlotte street,,Chelmsford,Ontario,GoDayCare.com
3082,ACME DAY CARE - CURIOSITY CORNER,323 CLARKE STREET,323 CLARKE STREET,323,clarke street,,ACME,,Province of Alberta
2429,WEST EDMONTON PLAYSCHOOL SOCIETY,15525 84 AVENUE,15525 84 AVENUE,15525,84 avenue,,EDMONTON,,Province of Alberta
13084,Rockcliffe Montessori Pre-School,,nan,415,McArthur Avenue,,Ottawa,ON,Province of Ontario
6577,GARDERIE K.I.D.S. PIERREFONDS II,"4499, boulevard Westpark",4499 boulevard Westpark,4499,boulevard westpark,,Pierrefonds,,Province of Quèbec
12041,Meadowest Preschool Inc.,,nan,N9-6975,Meadowvale Town Centre Circle,,Mississauga,ON,Province of Ontario
7468,LOMBRIC-À-BRAC,"4830, boulevard Dagenais Ouest",4830 boulevard Dagenais Ouest,4830,boulevard dagenais ouest,,Laval,,Province of Quèbec
24631,Navjot Kaur,"335 Fast Court, Saskatoon, SK, S7W 0W8",335 fast court ,335,fast court,,,,Province of Saskatchewan
19241,International Friends,10 Smithville Crescent,10 Smithville Crescent,10,smithville crescent,,St. John's,,Province of Newfoundland and Labrador
17003,Cathie's Tiny Tots,West Side Drive Bowmanville ON,west side drive ,,west side drive,,Bowmanville,Ontario,GoDayCare.com
8190,GARDERIE ÉDUCATIVE DAMILIA 2,"30A, rue Saint-Jean Baptiste Ouest",30A rue Saint-Jean Baptiste Ouest,30a,rue saint-jean baptiste ouest,,Rigaud,,Province of Quèbec
7029,CENTRE DE LA PETITE ENFANCE PICASSOU INC.,"1310, rue de la Digue",1310 rue de la Digue,1310,rue de la digue,,Havre-Saint-Pierre,,Province of Quèbec
4621,Family or Group Child Care Home *,None,None,,,,,,Province of Manitoba
12279,The Munchkin Manor Daycare and Early Learning Centre,,nan,1087,Lillian Street,,Toronto,ON,Province of Ontario
22264,Brockton School Junior Kindergarten,3467 Duval Rd,3467 Duval Rd,3467,duval rd,,North Vancouver,,Province of British Columbia
20326,Magic Bean Daycare,4891 Hermitage Dr,4891 Hermitage Dr,4891,hermitage dr,,Richmond,,Province of British Columbia
17054,ACADEMY OF MONTESSORI INC BRANTFORD,714 COLBORNE STREET EAST Brantford ON,714 colborne street east ,714,colborne street east,,Brantford,Ontario,GoDayCare.com
25117,Kids on the Beach Daycare,P.O.Box 933,PO,,,,,,Nunavut
716,NORTHEND LEARNING CENTER,96 Gorge Road Moncton E1G 1E6 (506) 384-5437,96 gorge road ,96,gorge road,,,,Province of New Brunswick
7749,CENTRE DE LA PETITE ENFANCE L'ANTRE-TEMPS,"700, rue de Saint-Jovite",700 rue de Saint-Jovite,700,rue de saint-jovite,,Mont-Tremblant,,Province of Quèbec
15921,Adventure Land Day Care,Lindahl Street Kelowna BC,lindahl street ,,lindahl street,,Kelowna,British Columbia,GoDayCare.com
11396,King Academy Child Care Centre Inc.,,nan,225,Castle Oaks Crossing,,Brampton,ON,Province of Ontario
8092,CENTRE DE LA PETITE ENFANCE MON MONDE À MOI,"2326, boulevard Marie-Victorin",2326 boulevard Marie-Victorin,2326,boulevard marie-victorin,,Longueuil,,Province of Quèbec
3122,PREFERRED CHILD CARE LTD.,"#1, 3109 PALLISER DRIVE SW",#1 3109 PALLISER DRIVE SW,3109,palliser drive sw,#1,CALGARY,,Province of Alberta
4947,Landmark Preschool Inc.,"Prairie Rose Evangelical Church gym 27093 MB ProvHwy 210 Landmark, MB",prairie rose evangelical church 27093 mb provhwy 210 ,210,mb provhwy,,,,Province of Manitoba
19399,Hunter River Early Learning Centre,"PO BOX 178, HUNTER RIVER","PO BOX 178 HUNTER RIVER PE, Canada",,,,,,Province of Prince Edward Island
19756,Little Koala Montessori Academy Childcare,10011 Blundell Rd,10011 Blundell Rd,10011,blundell rd,,Richmond,,Province of British Columbia
12606,PLASP St. Albert Catholic School,,nan,1125,Midland Avenue,,Scarborough,ON,Province of Ontario
18282,Robin's Home Daycare,"3748 County Road 31, R.R.1 Williamsburg ON",3748 county road 31 rr1 ,3748,county road 31 rr1,,Williamsburg,Ontario,GoDayCare.com
14240,Upper Canada Creative Child Care Centres of Ontario - St. John Chrysostom,,nan,800,Joe Persechini Drive,,Newmarket,ON,Province of Ontario
10860,Guelph School Age Care - St Paul,,nan,182,Clairefields Drive,,Guelph,ON,Province of Ontario
2181,WINFIELD PRE-KINDERGARTEN,401 4 AVENUE EAST,401 4 AVENUE EAST,401,4 avenue east,,WINFIELD,,Province of Alberta
9690,Brooke Montessori Toddler School,,nan,435,21st Street,,Owen Sound,ON,Province of Ontario
17972,Handprints Montessori Daycare,Canterbury crt Richmond Hill ON,canterbury crt ,,canterbury crt,,Richmond Hill,Ontario,GoDayCare.com
6258,GARDERIE PRÉSCOLAIRE MONTESSORI INTERNATIONALE (DÉCARIE),"6525, boulevard Décarie, bureau 122",6525 boulevard Décarie,6525,boulevard décarie,,Montréal,,Province of Quèbec
10757,Glebe Parent's Daycare Mutchmor Campus,,nan,185,Fifth Avenue,,Ottawa,ON,Province of Ontario
10124,OXFORD LEARNING CENTRE - RATHBURN,,nan,925,Rathburn Road,,Mississauga,ON,Province of Ontario
11680,"Le Man√®ge, Sainte-Kateri",,nan,2450,River Mist,,Ottawa,ON,Province of Ontario
4245,Little Voyageurs Learning Centre Inc.,"649 Brazier Street Winnipeg, MB",649 brazier street ,649,brazier street,,,,Province of Manitoba
15390,ST. ANNE'S CHILD CARE CENTRE,,nan,1000,The Rapids Parkway,,Sarnia,ON,Province of Ontario
13576,Blessed Mother Teresa House,,nan,652,South Pelham Road,,Welland,ON,Province of Ontario
15795,Tsuu T'Ina Sarcee Day Care Centre,9911 Chiila Blvd SW Strathmore AB,9911 chiila blvd sw ,9911,chiila blvd sw,,Strathmore,Alberta,GoDayCare.com
15354,Rosedale YMCA School Age,,nan,1018,Indian Road,,Sarnia,ON,Province of Ontario
16993,Garderie Le Petit Voilier - Ecole Marguerite Bourgeois,113 Rue Waterloo Est Borden ON,113 rue waterloo est ,113,rue waterloo est,,Borden,Ontario,GoDayCare.com
18362,Chez Moi-private Daycare,232 rue robert martial Aylmer QC,232 rue robert martial ,232,rue robert martial,,Aylmer,Quebec,GoDayCare.com
21076,West-Mont School,4075 Metchosin Road,4075 Metchosin Road,4075,metchosin road,,Victoria,,Province of British Columbia
3306,KIDS U WALDEN,250 WALDEN DRIVE SE,250 WALDEN DRIVE SE,250,walden drive se,,CALGARY,,Province of Alberta
19974,Brentwood Montessori Child Care Ltd.,101 - 1950 Bellwood Ave,101 1950 Bellwood Ave,101 1950,bellwood ave,,Burnaby,,Province of British Columbia
8433,CENTRE DE LA PETITE ENFANCE DES MARGUERITES (1976),"40D, rue Albert",40D rue Albert,40d,rue albert,,Sorel-Tracy,,Province of Quèbec
17241,Little Wonders,Davis St Collingwood ON,davis st ,,davis st,,Collingwood,Ontario,GoDayCare.com
17515,Lil' Ducks Home Daycare,Calwood Ave Greely ON,calwood ave ,,calwood ave,,Greely,Ontario,GoDayCare.com
15095,YMCA Child Care- Father Fogarty 2,,nan,269,Thorold Road,,Welland,ON,Province of Ontario
22491,Butterfly Early Learning Center,511 San Remo Dr,511 San Remo Dr,511,san remo dr,,Port Moody,,Province of British Columbia
3767,GU CHINESE SCHOOL OUT OF SCHOOL CARE PROGRAM,11435 40 AVENUE NW,11435 40 AVENUE NW,11435,40 avenue nw,,EDMONTON,,Province of Alberta
23497,Rainbow Kids Daycare,4521 Stauble Rd,4521 Stauble Rd,4521,stauble rd,,Prince George,,Province of British Columbia
7478,CENTRE DE LA PETITE ENFANCE BOUTON DE ROSE,"880, rue Sagala",880 rue Sagala,880,rue sagala,,Berthierville,,Province of Quèbec
12192,MIFO √©cole des Voyageurs,,nan,6030,Voyageur Promenade,,Orl√©ans,ON,Province of Ontario
21733,Mooshy Daycare,4417 Valencia Ave,4417 Valencia Ave,4417,valencia ave,,North Vancouver,,Province of British Columbia
24616,Olivia Felipe,"894 Kingsmere Blvd, Saskatoon, SK, S7J 4J7",894 kingsmere blvd ,894,kingsmere blvd,,,,Province of Saskatchewan
11597,EJ Sands Le Club,,nan,21,Mullen Drive,,Thronhill,ON,Province of Ontario
3355,KIDS @ PLAY DAY CARE,#208 4201 28 STREET,#208 4201 28 STREET,4201,28 street,#208,STONY PLAIN,,Province of Alberta
16565,French Daycare - Garderie Francais,52 stirling Dr Cole Harbour NS,52 stirling dr ,52,stirling dr,,Cole Harbour,Nova Scotia,GoDayCare.com
3363,DAVAR CHILD DEVELOPMENT CENTRE,3413 - 19TH AVE. SE,3413 19TH AVE SE,3413,19th ave se,,CALGARY,,Province of Alberta
14706,Kingston Family YMCA Arbour Heights Child Care Centre,,nan,564,Tanner Drive,,Kingston,ON,Province of Ontario
5904,CENTRE DE LA PETITE ENFANCE LE P'TIT TERMINUS,"3350, boulevard des Trinitaires",3350 boulevard des Trinitaires,3350,boulevard des trinitaires,,Montréal,,Province of Quèbec
20482,Acorn To Oaks Academy,9080 Granville Ave,9080 Granville Ave,9080,granville ave,,Richmond,,Province of British Columbia
9209,Willowbrae Childcare Academy,,nan,126,Wellington Street,,Aurora,ON,Province of Ontario
2079,WINDERMERE EARLY LEARNING CENTRE,6086 ANDREWS WAY SW,6086 ANDREWS WAY SW,6086,andrews way sw,,EDMONTON,,Province of Alberta
23586,Ross Bay Preschool Ltd,1620 Earle Street,1620 Earle Street,1620,earle street,,Victoria,,Province of British Columbia
7735,GARDERIE LES MINI SOLEILS II INC.,"17600, rue du Val-d'Espoir",17600 rue du Val-d'Espoir,17600,rue du val-d'espoir,,Mirabel,,Province of Quèbec
3951,Assiniboine Castle Daycare Co-op Inc.,"500 Shaftesbury Boulevard (Blvd) Winnipeg, MB",500 shaftesbury boulevard ,500,shaftesbury boulevard,,,,Province of Manitoba
6603,ECOLE MONTESSORI DE POINTE-CLAIRE (2),"116A, avenue Sunderland",116A avenue Sunderland,,116a avenue sunderland,,Pointe-Claire,,Province of Quèbec
3970,Bright Beginnings Educare Inc.,"5330 Monterey Road Headingley, MB",5330 monterey road ,5330,monterey road,,,,Province of Manitoba
24877,Nazia Mir,"115 Scrivener Crescent, Regina, SK, S4N 4V6",115 scrivener crescent ,115,scrivener crescent,,,,Province of Saskatchewan
7810,CENTRE DE LA PETITE ENFANCE LE FUNAMBULE INC.,"220, rue Saint-Marc",220 rue Saint-Marc,220,rue saint-marc,,Saint-Jérôme,,Province of Quèbec
13148,Rocking Horse Early Learning Centre,,nan,74,Christie Street,,Rockwood,ON,Province of Ontario
19591,Mountain View Preschool,2725 Lonsdale Ave,2725 Lonsdale Ave,2725,lonsdale ave,,North Vancouver,,Province of British Columbia
20064,Mish Mash,40022 Government Rd,40022 Government Rd,40022,government rd,,Squamish,,Province of British Columbia
6698,P'TIT TRAIN EXPRESS INC.,"3500, boulevard de la Côte-Vertu, porte 132",3500 boulevard de la Côte-Vertu porte 132,3500,boulevard de la côte-vertu,porte 132,Saint-Laurent,,Province of Quèbec
6342,GARDERIE ÉDUCATIVE LES PETITS SOURIRES,"6206, avenue Somerled",6206 avenue Somerled,6206,avenue somerled,,Montréal,,Province of Quèbec
19293,Panda Bear Daycare,44 Linegar Avenue,44 Linegar Avenue,44,linegar avenue,,St. John's,,Province of Newfoundland and Labrador
16518,Bright Beginnings Child Care Centre,25 Park St Amherst NS,25 park st ,25,park st,,Amherst,Nova Scotia,GoDayCare.com
8755,Little Steps Early Learning and Child Care Centre,,nan,9418,Highway 48,,Markham,ON,Province of Ontario
18367,KinderGarden House,493 Beaconsfield Boul. Beaconsfield QC,493 beaconsfield boul ,493,beaconsfield boul,,Beaconsfield,Quebec,GoDayCare.com
17315,Teenies Tots Daycare,Connaught st Delhi ON,connaught st ,,connaught st,,Delhi,Ontario,GoDayCare.com
1543,MAMA'S DAYCARE,6414 118 AVENUE,6414 118 AVENUE,6414,118 avenue,,EDMONTON,,Province of Alberta
5673,GARDERIE LE LAPIN BLEU I,"1885A, rue Saint-Régis",1885A rue Saint-Régis,1885a,rue saint-régis,,Dollard-des-Ormeaux,,Province of Quèbec
13470,St. George Mini School - Mallard,,nan,33,Mallard Road,,Toronto,ON,Province of Ontario
15555,Airdrie Prairie Springs Dayhome,Prairie Springs Airdrie AB,prairie springs ,,,,Airdrie,Alberta,GoDayCare.com
22259,Precious Time Child Care,1408 17Th St S,1408 17Th St S,1408,17th st s,,Cranbrook,,Province of British Columbia
847,The Preschool Centre on Main St 2,115 Main Street Fredericton E3A 1C6 (506) 458-8980,115 main street ,115,main street,,,,Province of New Brunswick
3983,Busy Bee Day Care Centre Inc.,"646 - 648 McGee Street Winnipeg, MB",646 648 mcgee street ,646 648,mcgee street,,,,Province of Manitoba
10624,R2L with Free to Become at Longue Sault Public School,,nan,13,Bethune Street,,Longue Sault,ON,Province of Ontario
15048,YMCA Child Care - Briardale,,nan,1,Caroline Street,,St. Catharines,ON,Province of Ontario
5219,CENTRE DE LA PETITE ENFANCE LES ÉCLATS DE RIRE,"2210, rue Desroches",2210 rue Desroches,2210,rue desroches,,Québec,,Province of Quèbec
16515,Num Num,dee dee Inuvik NT,dee dee ,,,,Inuvik,Northwest Territories,GoDayCare.com
8273,GARDERIE ÉDUCATIVE LES SENTIERS DE L'ENFANCE,"4600, rue Armand-Frappier",4600 rue Armand-Frappier,4600,rue armand-frappier,,Saint-Hubert,,Province of Quèbec
24054,Our Lady Of Fatima Pre-School,315 Walker Street,315 Walker Street,315,walker street,,Coquitlam,,Province of British Columbia
17225,Terry Fox YMCA Child Care,1065 Riddell Avenue Cobourg ON,1065 riddell avenue ,1065,riddell avenue,,Cobourg,Ontario,GoDayCare.com
13980,Tilbury Tots Early Learning Centre - TAPS,,nan,5,Mable Street,,Tilbury,ON,Province of Ontario
8487,CENTRE DE LA PETITE ENFANCE COOPÉRATIF LES P'TITES ABEILLES,"155, rue Dunkin",155 rue Dunkin,155,rue dunkin,,Drummondville,,Province of Quèbec
11393,Kinderplace Childcare Centre Inc.,,nan,1000,Huron Avenue,,Thunder Bay,ON,Province of Ontario
7039,INSTALLATION MAGIMUSE,"37, route 138",37 route 138,37,route 138,,Ragueneau,,Province of Quèbec
13708,The Alderbuds Child Care Centre of Etobicoke 2,,nan,399,The West Mall,,Etobicoke,ON,Province of Ontario
5253,FANFOURIRE,"166, avenue Bernatchez",166 avenue Bernatchez,166,avenue bernatchez,,Québec,,Province of Quèbec
7537,CENTRE DE LA PETITE ENFANCE COEUR DE POMME,"305, boulevard Lacombe",305 boulevard Lacombe,305,boulevard lacombe,,Repentigny,,Province of Quèbec
22807,Happy Campers Osc - David Cameron,675 Meaford Avenue,675 Meaford Avenue,675,meaford avenue,,Colwood,,Province of British Columbia
18749,Adelle's Daycare,303 112th st Saskatoon SK,303 112th st ,303,112th st,,Saskatoon,Saskatchewan,GoDayCare.com
19523,The Maria Montessori School,8597 156 St,8597 156 St,8597,156 st,,Surrey,,Province of British Columbia
7015,CENTRE DE LA PETITE ENFANCE VALLÉE DES LOUPIOTS,"351, rue de l'Église",351 rue de l'Église,351,rue de l'église,,Val-d'Or,,Province of Quèbec
18807,Church Of Nazarene Daycare,2111 Centennial Street Whitehorse YT,2111 centennial street ,2111,centennial street,,Whitehorse,Yukon Territory,GoDayCare.com
19047,14 Wing Greenwood Military Family Resource Centre,64 SCHOOL RD.,64 SCHOOL RD,64,school rd,,CFB GREENWOOD,,Province of Nova Scotia
5973,CENTRE POUR ENFANT NAMASTÉ INC. / NAMASTÉ CHILDRENS CENTER INC.,"1751, rue Richardson, appartement 1.052",1751 rue Richardson appartement 1052,1751,rue richardson,appartement 1052,Montréal,,Province of Quèbec
17351,Kate's Home Daycare,20 Hope st dundas ON,20 hope st ,20,hope st,,Dundas,Ontario,GoDayCare.com
21371,Little Willows Early Learning Childcare Centre (Powell) Inc,23500 Dewdney Trunk Rd,23500 Dewdney Trunk Rd,23500,dewdney trunk rd,,Maple Ridge,,Province of British Columbia
14748,North York Junior Y (YMCA),,nan,567,Sheppard Avenue,,Toronto,ON,Province of Ontario
21614,It's A Small World Daycare,11555 239A St,11555 239A St,11555,239a st,,Maple Ridge,,Province of British Columbia
18773,Tadpoles Day Care,Ens Lane Warman SK,ens lane ,,ens lane,,Warman,Saskatchewan,GoDayCare.com
2174,DOLPHIN CHILD DEVELOPMENT CENTRE,5019 51 AVENUE,5019 51 AVENUE,5019,51 avenue,,GIBBONS,,Province of Alberta
1524,WILDFLOWERS CHILDCARE,303 BONHOMME STREET,303 BONHOMME STREET,303,bonhomme street,,JASPER,,Province of Alberta
13881,The Monkey Barrel Indoor Play Inc,,nan,61,Victoria Street,,Southampton,ON,Province of Ontario
16441,Come And Play Preschool,P.o. Box 836 Corner Brook NL,po ,,,,Corner Brook,Newfoundland And Labrador,GoDayCare.com
14802,Meadowcrest YMCA,,nan,20,Vipond Road,,Brooklin,ON,Province of Ontario
7483,LE ROYAUME DES Z'AMOURS INC.,"3, rue Quintal",3 rue Quintal,3,rue quintal,,Charlemagne,,Province of Quèbec
15898,Delta Daycare,7675 116A Street Delta BC,7675 116a street ,7675,116a street,,Delta,British Columbia,GoDayCare.com
16943,Oldfield Academy,419 Dayfoot street Beeton ON,419 dayfoot street ,419,dayfoot street,,Beeton,Ontario,GoDayCare.com
7133,CENTRE DE LA PETITE ENFANCE L'ARC-EN-CIEL INC.,"269-271, rue Saint-Joseph",269-271 rue Saint-Joseph,269-271,rue saint-joseph,,Lévis,,Province of Quèbec
10942,St. Mark Before and After School Program,,nan,43,Whitedeer Road,,Stoney Creek,ON,Province of Ontario
13685,Teddy Bears Picnic Child Care - Full Day,,nan,221,Main Street,,Newmarket,ON,Province of Ontario
24336,Kootenay Kinderschool,523 Mill St,523 Mill St,523,mill st,,Nelson,,Province of British Columbia
15814,Abbotsford Christian Preschool,3939 Old Clayburn Rd Abbotsford BC,3939 old clayburn rd ,3939,old clayburn rd,,Abbotsford,British Columbia,GoDayCare.com
15568,Alberta Aproved Family Day Home,47 greenbrook mobile village Brooks AB,47 greenbrook mobile village ,47,greenbrook mobile village,,Brooks,Alberta,GoDayCare.com
11102,Jamesville Children's Centre,,nan,252,James Street,,Hamilton,ON,Province of Ontario
6667,GARDERIE LE PETIT SAFARI,"1260, boulevard Marcel-Laurin",1260 boulevard Marcel-Laurin,1260,boulevard marcel-laurin,,Saint-Laurent,,Province of Quèbec
5496,GARDERIE JARDIN DES PETITS POUCETS,"6600, rue Amyot",6600 rue Amyot,6600,rue amyot,,Trois-Rivières,,Province of Quèbec
21499,Joey's Out Of School Care,523 Mill St,523 Mill St,523,mill st,,Nelson,,Province of British Columbia
