,source_full_address,full_address,street_number,street_name,unit,rearranged,rearranged_parsed
24170,103/104 10957 Barnston View,103/104 10957 Barnston View,10957,barnston view,103/104,103/104 10957 Barnston View,"[('103/104', 'house_number'), ('10957', 'postcode'), ('barnston view', 'road')]"
24171,9365 Carleton St,9365 Carleton St,9365,carleton st,,9365 Carleton St,"[('9365', 'house_number'), ('carleton st', 'road')]"
24172,42000 Government Rd,42000 Government Rd,42000,government rd,,42000 Government Rd,"[('42000', 'house_number'), ('government rd', 'road')]"
24173,2250 Terrain Rd,2250 Terrain Rd,2250,terrain rd,,2250 Terrain Rd,"[('2250', 'house_number'), ('terrain rd', 'road')]"
24174,885 22 St,885 22 St,885,22 st,,885 22 St,"[('885', 'house_number'), ('22 st', 'road')]"
24175,885 22 St,885 22 St,885,22 st,,885 22 St,"[('885', 'house_number'), ('22 st', 'road')]"
24176,2906 41St Ave W,2906 41St Ave W,2906,41st ave w,,2906 41St Ave W,"[('2906', 'house_number'), ('41st ave w', 'road')]"
24177,1019 Fernwood Ave,1019 Fernwood Ave,1019,fernwood ave,,1019 Fernwood Ave,"[('1019', 'house_number'), ('fernwood ave', 'road')]"
24178,5973 Stonehaven Dr,5973 Stonehaven Dr,5973,stonehaven dr,,5973 Stonehaven Dr,"[('5973', 'house_number'), ('stonehaven dr', 'road')]"
24179,3075 Slocan St,3075 Slocan St,3075,slocan st,,3075 Slocan St,"[('3075', 'house_number'), ('slocan st', 'road')]"
24180,8465 Draper Rd,8465 Draper Rd,8465,draper rd,,8465 Draper Rd,"[('8465', 'house_number'), ('draper rd', 'road')]"
24181,29715 Donatelli Ave,29715 Donatelli Ave,29715,donatelli ave,,29715 Donatelli Ave,"[('29715', 'house_number'), ('donatelli ave', 'road')]"
24182,310 Nelson Avenue,310 Nelson Avenue,310,nelson avenue,,310 Nelson Avenue,"[('310', 'house_number'), ('nelson avenue', 'road')]"
24183,90 5Th Ave S.E,90 5Th Ave SE,90,5th ave se,,90 5Th Ave SE,"[('90', 'house_number'), ('5th ave se', 'road')]"
24184,63 Ravine Dr,63 Ravine Dr,63,ravine dr,,63 Ravine Dr,"[('63', 'house_number'), ('ravine dr', 'road')]"
24185,14601 20 Ave,14601 20 Ave,14601,20 ave,,14601 20 Ave,"[('14601', 'house_number'), ('20 ave', 'road')]"
24186,17635 58 Ave,17635 58 Ave,17635,58 ave,,17635 58 Ave,"[('17635', 'house_number'), ('58 ave', 'road')]"
24187,15105 105 Ave,15105 105 Ave,15105,105 ave,,15105 105 Ave,"[('15105', 'house_number'), ('105 ave', 'road')]"
24188,2 15996 84 Ave,2 15996 84 Ave,2,15996 84 ave,,2 15996 84 Ave,"[('2', 'house_number'), ('15996 84 ave', 'road')]"
24189,12236 70A Ave,12236 70A Ave,12236,70a ave,,12236 70A Ave,"[('12236', 'house_number'), ('70a ave', 'road')]"
24190,12755 74 Ave,12755 74 Ave,12755,74 ave,,12755 74 Ave,"[('12755', 'house_number'), ('74 ave', 'road')]"
24191,7120 136B St,7120 136B St,7120,136b st,,7120 136B St,"[('7120', 'house_number'), ('136b st', 'road')]"
24192,200 Mallach Road,200 Mallach Road,200,mallach road,,200 Mallach Road,"[('200', 'house_number'), ('mallach road', 'road')]"
24193,645 Wade Avenue,645 Wade Avenue,645,wade avenue,,645 Wade Avenue,"[('645', 'house_number'), ('wade avenue', 'road')]"
24194,6318 Tyne Street,6318 Tyne Street,6318,tyne street,,6318 Tyne Street,"[('6318', 'house_number'), ('tyne street', 'road')]"
24195,15720 106Th Ave,15720 106Th Ave,15720,106th ave,,15720 106Th Ave,"[('15720', 'house_number'), ('106th ave', 'road')]"
24196,15046 68 Ave,15046 68 Ave,15046,68 ave,,15046 68 Ave,"[('15046', 'house_number'), ('68 ave', 'road')]"
24197,59 634 Elm St,59 634 Elm St,59 634,elm st,,59 634 Elm St,"[('59 634', 'house_number'), ('elm st', 'road')]"
24198,11511 King Road,11511 King Road,11511,king road,,11511 King Road,"[('11511', 'house_number'), ('king road', 'road')]"
24199,9766 Oak Street,9766 Oak Street,9766,oak street,,9766 Oak Street,"[('9766', 'house_number'), ('oak street', 'road')]"
24200,3608 Sparks St,3608 Sparks St,3608,sparks st,,3608 Sparks St,"[('3608', 'house_number'), ('sparks st', 'road')]"
24201,6824 Glenview Dr,6824 Glenview Dr,6824,glenview dr,,6824 Glenview Dr,"[('6824', 'house_number'), ('glenview dr', 'road')]"
24202,12224 240 St,12224 240 St,12224,240 st,,12224 240 St,"[('12224', 'house_number'), ('240 st', 'road')]"
24203,602 11 St S,602 11 St S,602,11 st s,,602 11 St S,"[('602', 'house_number'), ('11 st s', 'road')]"
24204,9972 Park Lane,9972 Park Lane,9972,park lane,,9972 Park Lane,"[('9972', 'house_number'), ('park lane', 'road')]"
24205,1196 Chaster Rd,1196 Chaster Rd,1196,chaster rd,,1196 Chaster Rd,"[('1196', 'house_number'), ('chaster rd', 'road')]"
24206,8661 162A St,8661 162A St,8661,162a st,,8661 162A St,"[('8661', 'house_number'), ('162a st', 'road')]"
24207,32948 Fourteenth Ave,32948 Fourteenth Ave,32948,fourteenth ave,,32948 Fourteenth Ave,"[('32948', 'house_number'), ('fourteenth ave', 'road')]"
24208,32281 Diamond Ave,32281 Diamond Ave,32281,diamond ave,,32281 Diamond Ave,"[('32281', 'house_number'), ('diamond ave', 'road')]"
24209,32676 Stokes Ave,32676 Stokes Ave,32676,stokes ave,,32676 Stokes Ave,"[('32676', 'house_number'), ('stokes ave', 'road')]"
24210,3839 Toronto St,3839 Toronto St,3839,toronto st,,3839 Toronto St,"[('3839', 'house_number'), ('toronto st', 'road')]"
24211,6748 191A St,6748 191A St,6748,191a st,,6748 191A St,"[('6748', 'house_number'), ('191a st', 'road')]"
24212,285 Alpine View Rd,285 Alpine View Rd,285,alpine view rd,,285 Alpine View Rd,"[('285', 'house_number'), ('alpine view rd', 'road')]"
24213,157 - 10677 124 St,157 10677 124 St,157,10677 124 st,,157 10677 124 St,"[('157', 'house_number'), ('10677 124 st', 'road')]"
24214,6168 129A St,6168 129A St,6168,129a st,,6168 129A St,"[('6168', 'house_number'), ('129a st', 'road')]"
24215,2339 Whitman Ave,2339 Whitman Ave,2339,whitman ave,,2339 Whitman Ave,"[('2339', 'house_number'), ('whitman ave', 'road')]"
24216,475 Yates Rd,475 Yates Rd,475,yates rd,,475 Yates Rd,"[('475', 'house_number'), ('yates rd', 'road')]"
24217,2745 Mount Seymour Pky,2745 Mount Seymour Pky,2745,mount seymour pky,,2745 Mount Seymour Pky,"[('2745', 'house_number'), ('mount seymour pky', 'road')]"
24218,11-1614 Griffiths Rd,11 1614 Griffiths Rd,11 1614,griffiths rd,,11 1614 Griffiths Rd,"[('11 1614', 'house_number'), ('griffiths rd', 'road')]"
24219,3660 Brown Rd,3660 Brown Rd,3660,brown rd,,3660 Brown Rd,"[('3660', 'house_number'), ('brown rd', 'road')]"
24220,9050 Sunset Drive,9050 Sunset Drive,9050,sunset drive,,9050 Sunset Drive,"[('9050', 'house_number'), ('sunset drive', 'road')]"
24221,9500 Alberta Rd,9500 Alberta Rd,9500,alberta rd,,9500 Alberta Rd,"[('9500', 'house_number'), ('alberta rd', 'road')]"
24222,3449 Webber Rd,3449 Webber Rd,3449,webber rd,,3449 Webber Rd,"[('3449', 'house_number'), ('webber rd', 'road')]"
24223,17333 61A Ave,17333 61A Ave,17333,61a ave,,17333 61A Ave,"[('17333', 'house_number'), ('61a ave', 'road')]"
24224,947 Sperling Ave,947 Sperling Ave,947,sperling ave,,947 Sperling Ave,"[('947', 'house_number'), ('sperling ave', 'road')]"
24225,700 Young Rd,700 Young Rd,700,young rd,,700 Young Rd,"[('700', 'house_number'), ('young rd', 'road')]"
24226,7381 Curtis St,7381 Curtis St,7381,curtis st,,7381 Curtis St,"[('7381', 'house_number'), ('curtis st', 'road')]"
24227,38265 Westway Ave,38265 Westway Ave,38265,westway ave,,38265 Westway Ave,"[('38265', 'house_number'), ('westway ave', 'road')]"
24228,6504 Kestrel Cres,6504 Kestrel Cres,6504,kestrel cres,,6504 Kestrel Cres,"[('6504', 'house_number'), ('kestrel cres', 'road')]"
24229,14 Heather Pl,14 Heather Pl,14,heather pl,,14 Heather Pl,"[('14', 'house_number'), ('heather pl', 'road')]"
24230,4295 48A St,4295 48A St,4295,48a st,,4295 48A St,"[('4295', 'house_number'), ('48a st', 'road')]"
24231,21410 Glenwood Ave,21410 Glenwood Ave,21410,glenwood ave,,21410 Glenwood Ave,"[('21410', 'house_number'), ('glenwood ave', 'road')]"
24232,9311 Patterson Rd,9311 Patterson Rd,9311,patterson rd,,9311 Patterson Rd,"[('9311', 'house_number'), ('patterson rd', 'road')]"
24233,22215 Garratt Dr,22215 Garratt Dr,22215,garratt dr,,22215 Garratt Dr,"[('22215', 'house_number'), ('garratt dr', 'road')]"
24234,1790 Ioco Rd,1790 Ioco Rd,1790,ioco rd,,1790 Ioco Rd,"[('1790', 'house_number'), ('ioco rd', 'road')]"
24235,3914 Grange Rd,3914 Grange Rd,3914,grange rd,,3914 Grange Rd,"[('3914', 'house_number'), ('grange rd', 'road')]"
24236,602 8Th St E,602 8Th St E,602,8th st e,,602 8Th St E,"[('602', 'house_number'), ('8th st e', 'road')]"
24237,A 49 Atli Road,A 49 Atli Road,49,atli road,a,A 49 Atli Road,"[('a', 'road'), ('49', 'house_number'), ('atli road', 'road')]"
24238,1765 Third Ave,1765 Third Ave,1765,third ave,,1765 Third Ave,"[('1765', 'house_number'), ('third ave', 'road')]"
24239,737 Poirier St,737 Poirier St,737,poirier st,,737 Poirier St,"[('737', 'house_number'), ('poirier st', 'road')]"
24240,6430 Village St,6430 Village St,6430,village st,,6430 Village St,"[('6430', 'house_number'), ('village st', 'road')]"
24241,2551 East 49 Avenue,2551 East 49 Avenue,2551,east 49 avenue,,2551 East 49 Avenue,"[('2551', 'house_number'), ('east 49 avenue', 'road')]"
24242,2090 Sunview Drive,2090 Sunview Drive,2090,sunview drive,,2090 Sunview Drive,"[('2090', 'house_number'), ('sunview drive', 'road')]"
24243,5135 Sperling Ave,5135 Sperling Ave,5135,sperling ave,,5135 Sperling Ave,"[('5135', 'house_number'), ('sperling ave', 'road')]"
24244,3970 Haro Rd,3970 Haro Rd,3970,haro rd,,3970 Haro Rd,"[('3970', 'house_number'), ('haro rd', 'road')]"
24245,7081 Grant Rd,7081 Grant Rd,7081,grant rd,,7081 Grant Rd,"[('7081', 'house_number'), ('grant rd', 'road')]"
24246,1490 Lynwood Ave,1490 Lynwood Ave,1490,lynwood ave,,1490 Lynwood Ave,"[('1490', 'house_number'), ('lynwood ave', 'road')]"
24247,185 45Th Ave W,185 45Th Ave W,185,45th ave w,,185 45Th Ave W,"[('185', 'house_number'), ('45th ave w', 'road')]"
24248,314 Third Street,314 Third Street,314,third street,,314 Third Street,"[('314', 'house_number'), ('third street', 'road')]"
24249,7 - 4340 Carson St,7 4340 Carson St,7 4340,carson st,,7 4340 Carson St,"[('7 4340', 'house_number'), ('carson st', 'road')]"
24250,1250 Pinetree Way,1250 Pinetree Way,1250,pinetree way,,1250 Pinetree Way,"[('1250', 'house_number'), ('pinetree way', 'road')]"
24251,1592 Arrow Lakes Drive,1592 Arrow Lakes Drive,1592,arrow lakes drive,,1592 Arrow Lakes Drive,"[('1592', 'house_number'), ('arrow lakes drive', 'road')]"
24252,1161 Princess St,1161 Princess St,1161,princess st,,1161 Princess St,"[('1161', 'house_number'), ('princess st', 'road')]"
24253,5655 Osoyoos,5655 Osoyoos,5655,osoyoos,,5655 Osoyoos,"[('5655', 'house_number'), ('osoyoos', 'road')]"
24254,2815 Revelstoke Court,2815 Revelstoke Court,2815,revelstoke court,,2815 Revelstoke Court,"[('2815', 'house_number'), ('revelstoke court', 'road')]"
24255,3750 Floyd St,3750 Floyd St,3750,floyd st,,3750 Floyd St,"[('3750', 'house_number'), ('floyd st', 'road')]"
24256,5650 Teskey Way,5650 Teskey Way,5650,teskey way,,5650 Teskey Way,"[('5650', 'house_number'), ('teskey way', 'road')]"
24257,2700A College Way,2700A College Way,2700a,college way,,2700A College Way,"[('2700a', 'house_number'), ('college way', 'road')]"
24258,1356 Frederick Rd,1356 Frederick Rd,1356,frederick rd,,1356 Frederick Rd,"[('1356', 'house_number'), ('frederick rd', 'road')]"
24259,1341 Station Rd,1341 Station Rd,1341,station rd,,1341 Station Rd,"[('1341', 'house_number'), ('station rd', 'road')]"
24260,109 5851 West Boulevard,109 5851 West Boulevard,109,5851 west boulevard,,109 5851 West Boulevard,"[('109', 'house_number'), ('5851 west boulevard', 'road')]"
24261,7148 Southridge Ave,7148 Southridge Ave,7148,southridge ave,,7148 Southridge Ave,"[('7148', 'house_number'), ('southridge ave', 'road')]"
24262,12819 Old Yale Rd,12819 Old Yale Rd,12819,old yale rd,,12819 Old Yale Rd,"[('12819', 'house_number'), ('old yale rd', 'road')]"
24263,2928 Eastdowne Rd,2928 Eastdowne Rd,2928,eastdowne rd,,2928 Eastdowne Rd,"[('2928', 'house_number'), ('eastdowne rd', 'road')]"
24264,324 East 5Th St,324 East 5Th St,324,east 5th st,,324 East 5Th St,"[('324', 'house_number'), ('east 5th st', 'road')]"
24265,800 Egmont Avenue,800 Egmont Avenue,800,egmont avenue,,800 Egmont Avenue,"[('800', 'house_number'), ('egmont avenue', 'road')]"
24266,1058 Ridgewood Dr,1058 Ridgewood Dr,1058,ridgewood dr,,1058 Ridgewood Dr,"[('1058', 'house_number'), ('ridgewood dr', 'road')]"
24267,20190 - 48Th Ave,20190 48Th Ave,20190,48th ave,,20190 48Th Ave,"[('20190', 'house_number'), ('48th ave', 'road')]"
24268,5289 188 St,5289 188 St,5289,188 st,,5289 188 St,"[('5289', 'house_number'), ('188 st', 'road')]"
24269,930 Trunk Rd,930 Trunk Rd,930,trunk rd,,930 Trunk Rd,"[('930', 'house_number'), ('trunk rd', 'road')]"
24270,27871 113 Ave,27871 113 Ave,27871,113 ave,,27871 113 Ave,"[('27871', 'house_number'), ('113 ave', 'road')]"
24271,503 First St,503 First St,503,first st,,503 First St,"[('503', 'house_number'), ('first st', 'road')]"
24272,10417 106 Avenue,10417 106 Avenue,10417,106 avenue,,10417 106 Avenue,"[('10417', 'house_number'), ('106 avenue', 'road')]"
24273,209 15372 94Th Ave,209 15372 94Th Ave,209,15372 94th ave,,209 15372 94Th Ave,"[('209', 'house_number'), ('15372 94th ave', 'road')]"
24274,28209 96Th Ave,28209 96Th Ave,28209,96th ave,,28209 96Th Ave,"[('28209', 'house_number'), ('96th ave', 'road')]"
24275,725 Carnarvon St,725 Carnarvon St,725,carnarvon st,,725 Carnarvon St,"[('725', 'house_number'), ('carnarvon st', 'road')]"
24276,5 L Duncan Street,5 L Duncan Street,5,l duncan street,,5 L Duncan Street,"[('5', 'house_number'), ('l duncan street', 'road')]"
24277,9300 Westminster Highway,9300 Westminster Highway,9300,westminster highway,,9300 Westminster Highway,"[('9300', 'house_number'), ('westminster highway', 'road')]"
24278,126 Boundary St,126 Boundary St,126,boundary st,,126 Boundary St,"[('126', 'house_number'), ('boundary st', 'road')]"
24279,6694 Southwind Rd,6694 Southwind Rd,6694,southwind rd,,6694 Southwind Rd,"[('6694', 'house_number'), ('southwind rd', 'road')]"
24280,3214 10 Ave W,3214 10 Ave W,3214,10 ave w,,3214 10 Ave W,"[('3214', 'house_number'), ('10 ave w', 'road')]"
24281,9750 Bakerview Dr,9750 Bakerview Dr,9750,bakerview dr,,9750 Bakerview Dr,"[('9750', 'house_number'), ('bakerview dr', 'road')]"
24282,13175 107 Ave,13175 107 Ave,13175,107 ave,,13175 107 Ave,"[('13175', 'house_number'), ('107 ave', 'road')]"
24283,5451 Smith Dr,5451 Smith Dr,5451,smith dr,,5451 Smith Dr,"[('5451', 'house_number'), ('smith dr', 'road')]"
24284,12209 206 St,12209 206 St,12209,206 st,,12209 206 St,"[('12209', 'house_number'), ('206 st', 'road')]"
24285,1974 155 St,1974 155 St,1974,155 st,,1974 155 St,"[('1974', 'house_number'), ('155 st', 'road')]"
24286,1502 Maple St,1502 Maple St,1502,maple st,,1502 Maple St,"[('1502', 'house_number'), ('maple st', 'road')]"
24287,704 Hillcrest Road,704 Hillcrest Road,704,hillcrest road,,704 Hillcrest Road,"[('704', 'house_number'), ('hillcrest road', 'road')]"
24288,7595 10 Ave,7595 10 Ave,7595,10 ave,,7595 10 Ave,"[('7595', 'house_number'), ('10 ave', 'road')]"
24289,290 Crestview Dr,290 Crestview Dr,290,crestview dr,,290 Crestview Dr,"[('290', 'house_number'), ('crestview dr', 'road')]"
24290,380 Kings Rd W,380 Kings Rd W,380,kings rd w,,380 Kings Rd W,"[('380', 'house_number'), ('kings rd w', 'road')]"
24291,2166 Drawbridge Close,2166 Drawbridge Close,2166,drawbridge close,,2166 Drawbridge Close,"[('2166', 'house_number'), ('drawbridge close', 'road')]"
24292,20131 69 Ave,20131 69 Ave,20131,69 ave,,20131 69 Ave,"[('20131', 'house_number'), ('69 ave', 'road')]"
24293,144-3388 Rosemary Heights Cres,144 3388 Rosemary Heights Cres,144 3388,rosemary heights cres,,144 3388 Rosemary Heights Cres,"[('144 3388', 'house_number'), ('rosemary heights cres', 'road')]"
24294,32714 Crane Ave,32714 Crane Ave,32714,crane ave,,32714 Crane Ave,"[('32714', 'house_number'), ('crane ave', 'road')]"
24295,33333 Mayfair Ave,33333 Mayfair Ave,33333,mayfair ave,,33333 Mayfair Ave,"[('33333', 'house_number'), ('mayfair ave', 'road')]"
24296,12800 Cambie Road,12800 Cambie Road,12800,cambie road,,12800 Cambie Road,"[('12800', 'house_number'), ('cambie road', 'road')]"
24297,9060 212Th St,9060 212Th St,9060,212th st,,9060 212Th St,"[('9060', 'house_number'), ('212th st', 'road')]"
24298,12996 60 Ave,12996 60 Ave,12996,60 ave,,12996 60 Ave,"[('12996', 'house_number'), ('60 ave', 'road')]"
24299,257 192 St,257 192 St,257,192 st,,257 192 St,"[('257', 'house_number'), ('192 st', 'road')]"
24300,4415 Fitzgerald Ave,4415 Fitzgerald Ave,4415,fitzgerald ave,,4415 Fitzgerald Ave,"[('4415', 'house_number'), ('fitzgerald ave', 'road')]"
24301,1620 Western Dr,1620 Western Dr,1620,western dr,,1620 Western Dr,"[('1620', 'house_number'), ('western dr', 'road')]"
24302,2055 Purcell Way,2055 Purcell Way,2055,purcell way,,2055 Purcell Way,"[('2055', 'house_number'), ('purcell way', 'road')]"
24303,2055 Purcell Way,2055 Purcell Way,2055,purcell way,,2055 Purcell Way,"[('2055', 'house_number'), ('purcell way', 'road')]"
24304,421 Hambrook St,421 Hambrook St,421,hambrook st,,421 Hambrook St,"[('421', 'house_number'), ('hambrook st', 'road')]"
24305,140 Renz Rd,140 Renz Rd,140,renz rd,,140 Renz Rd,"[('140', 'house_number'), ('renz rd', 'road')]"
24306,5025 12 Ave,5025 12 Ave,5025,12 ave,,5025 12 Ave,"[('5025', 'house_number'), ('12 ave', 'road')]"
24307,8886 Hudson St,8886 Hudson St,8886,hudson st,,8886 Hudson St,"[('8886', 'house_number'), ('hudson st', 'road')]"
24308,2865 Revelstoke Court,2865 Revelstoke Court,2865,revelstoke court,,2865 Revelstoke Court,"[('2865', 'house_number'), ('revelstoke court', 'road')]"
24309,5620 B Osoyoos Crescent,5620 B Osoyoos Crescent,5620 b,osoyoos crescent,,5620 B Osoyoos Crescent,"[('5620 b', 'house_number'), ('osoyoos crescent', 'road')]"
24310,16787 61 Ave,16787 61 Ave,16787,61 ave,,16787 61 Ave,"[('16787', 'house_number'), ('61 ave', 'road')]"
24311,7505 Arbutus,7505 Arbutus,7505,arbutus,,7505 Arbutus,"[('7505', 'house_number'), ('arbutus', 'road')]"
24312,7505 Arbutus,7505 Arbutus,7505,arbutus,,7505 Arbutus,"[('7505', 'house_number'), ('arbutus', 'road')]"
24313,201 6Th Ave E,201 6Th Ave E,201,6th ave e,,201 6Th Ave E,"[('201', 'house_number'), ('6th ave e', 'road')]"
24314,1-8920 Broadway,1 8920 Broadway,1 8920,broadway,,1 8920 Broadway,"[('1 8920', 'house_number'), ('broadway', 'road')]"
24315,5371 Mayfair Rd,5371 Mayfair Rd,5371,mayfair rd,,5371 Mayfair Rd,"[('5371', 'house_number'), ('mayfair rd', 'road')]"
24316,11662 94 Ave,11662 94 Ave,11662,94 ave,,11662 94 Ave,"[('11662', 'house_number'), ('94 ave', 'road')]"
24317,950 Academy Way,950 Academy Way,950,academy way,,950 Academy Way,"[('950', 'house_number'), ('academy way', 'road')]"
24318,3217 Richmond Street,3217 Richmond Street,3217,richmond street,,3217 Richmond Street,"[('3217', 'house_number'), ('richmond street', 'road')]"
24319,1958 Napier St,1958 Napier St,1958,napier st,,1958 Napier St,"[('1958', 'house_number'), ('napier st', 'road')]"
24320,9574 160Th St,9574 160Th St,9574,160th st,,9574 160Th St,"[('9574', 'house_number'), ('160th st', 'road')]"
24321,2805 Revelstoke,2805 Revelstoke,2805,revelstoke,,2805 Revelstoke,"[('2805', 'house_number'), ('revelstoke', 'road')]"
24322,4602 Blue Heron Dr,4602 Blue Heron Dr,4602,blue heron dr,,4602 Blue Heron Dr,"[('4602', 'house_number'), ('blue heron dr', 'road')]"
24323,8860 Hudson St,8860 Hudson St,8860,hudson st,,8860 Hudson St,"[('8860', 'house_number'), ('hudson st', 'road')]"
24324,4 13570 78Th Ave,4 13570 78Th Ave,4 13570,78th ave,,4 13570 78Th Ave,"[('4 13570', 'house_number'), ('78th ave', 'road')]"
24325,1823 Hawk Dr,1823 Hawk Dr,1823,hawk dr,,1823 Hawk Dr,"[('1823', 'house_number'), ('hawk dr', 'road')]"
24326,8236 French St,8236 French St,8236,french st,,8236 French St,"[('8236', 'house_number'), ('french st', 'road')]"
24327,1033 Jenkins Ave,1033 Jenkins Ave,1033,jenkins ave,,1033 Jenkins Ave,"[('1033', 'house_number'), ('jenkins ave', 'road')]"
24328,6263 Hawkes Blvd,6263 Hawkes Blvd,6263,hawkes blvd,,6263 Hawkes Blvd,"[('6263', 'house_number'), ('hawkes blvd', 'road')]"
24329,6230 120 St,6230 120 St,6230,120 st,,6230 120 St,"[('6230', 'house_number'), ('120 st', 'road')]"
24330,5798 Brookwood Dr,5798 Brookwood Dr,5798,brookwood dr,,5798 Brookwood Dr,"[('5798', 'house_number'), ('brookwood dr', 'road')]"
24331,107 1540 McPhee Ave,107 1540 McPhee Ave,1540,mcphee ave,107,107 1540 McPhee Ave,"[('107', 'house_number'), ('1540', 'postcode'), ('mcphee ave', 'road')]"
24332,1141 Riverwood Gate,1141 Riverwood Gate,1141,riverwood gate,,1141 Riverwood Gate,"[('1141', 'house_number'), ('riverwood gate', 'road')]"
24333,201 4751 Garden City Road,201 4751 Garden City Road,201 4751,garden city road,,201 4751 Garden City Road,"[('201 4751', 'house_number'), ('garden city road', 'road')]"
24334,4251 Campobello Pl,4251 Campobello Pl,4251,campobello pl,,4251 Campobello Pl,"[('4251', 'house_number'), ('campobello pl', 'road')]"
24335,35366 McKee Rd,35366 McKee Rd,35366,mckee rd,,35366 McKee Rd,"[('35366', 'house_number'), ('mckee rd', 'road')]"
24336,523 Mill St,523 Mill St,523,mill st,,523 Mill St,"[('523', 'house_number'), ('mill st', 'road')]"
24337,9620 Snowdon Ave,9620 Snowdon Ave,9620,snowdon ave,,9620 Snowdon Ave,"[('9620', 'house_number'), ('snowdon ave', 'road')]"
24338,1203 Alexander Dr,1203 Alexander Dr,1203,alexander dr,,1203 Alexander Dr,"[('1203', 'house_number'), ('alexander dr', 'road')]"
24339,9173 116 St,9173 116 St,9173,116 st,,9173 116 St,"[('9173', 'house_number'), ('116 st', 'road')]"
24340,4030 Walnut Dr,4030 Walnut Dr,4030,walnut dr,,4030 Walnut Dr,"[('4030', 'house_number'), ('walnut dr', 'road')]"
24341,4381 46A St,4381 46A St,4381,46a st,,4381 46A St,"[('4381', 'house_number'), ('46a st', 'road')]"
24342,1867 Coldwater Crt,1867 Coldwater Crt,1867,coldwater crt,,1867 Coldwater Crt,"[('1867', 'house_number'), ('coldwater crt', 'road')]"
24343,3530 144Th St,3530 144Th St,3530,144th st,,3530 144Th St,"[('3530', 'house_number'), ('144th st', 'road')]"
24344,3366 156A St,3366 156A St,3366,156a st,,3366 156A St,"[('3366', 'house_number'), ('156a st', 'road')]"
24345,11315 75 Ave,11315 75 Ave,11315,75 ave,,11315 75 Ave,"[('11315', 'house_number'), ('75 ave', 'road')]"
24346,330 Craig St,330 Craig St,330,craig st,,330 Craig St,"[('330', 'house_number'), ('craig st', 'road')]"
24347,310 Nechako Ave,310 Nechako Ave,310,nechako ave,,310 Nechako Ave,"[('310', 'house_number'), ('nechako ave', 'road')]"
24348,685 Queens Rd W,685 Queens Rd W,685,queens rd w,,685 Queens Rd W,"[('685', 'house_number'), ('queens rd w', 'road')]"
24349,1905 Latimer Rd,1905 Latimer Rd,1905,latimer rd,,1905 Latimer Rd,"[('1905', 'house_number'), ('latimer rd', 'road')]"
24350,14747 108A Ave,14747 108A Ave,14747,108a ave,,14747 108A Ave,"[('14747', 'house_number'), ('108a ave', 'road')]"
24351,949 Sperling Ave,949 Sperling Ave,949,sperling ave,,949 Sperling Ave,"[('949', 'house_number'), ('sperling ave', 'road')]"
24352,2650 Slocan St,2650 Slocan St,2650,slocan st,,2650 Slocan St,"[('2650', 'house_number'), ('slocan st', 'road')]"
24353,5615 Osoyoos,5615 Osoyoos,5615,osoyoos,,5615 Osoyoos,"[('5615', 'house_number'), ('osoyoos', 'road')]"
24354,3779 Glover Ave Rr 4,3779 Glover Ave Rr 4,3779,glover ave rr 4,,3779 Glover Ave Rr 4,"[('3779', 'house_number'), ('glover ave rr 4', 'road')]"
24355,4085 Dollare Road,4085 Dollare Road,4085,dollare road,,4085 Dollare Road,"[('4085', 'house_number'), ('dollare road', 'road')]"
24356,4085 Dollar Road,4085 Dollar Road,4085,dollar road,,4085 Dollar Road,"[('4085', 'house_number'), ('dollar road', 'road')]"
24357,7360 Lombard Rd,7360 Lombard Rd,7360,lombard rd,,7360 Lombard Rd,"[('7360', 'house_number'), ('lombard rd', 'road')]"
24358,32557 Best Ave,32557 Best Ave,32557,best ave,,32557 Best Ave,"[('32557', 'house_number'), ('best ave', 'road')]"
24359,9491 Ash Street,9491 Ash Street,9491,ash street,,9491 Ash Street,"[('9491', 'house_number'), ('ash street', 'road')]"
24360,33676 St. Olaf Ave,33676 St Olaf Ave,33676,st olaf ave,,33676 St Olaf Ave,"[('33676', 'house_number'), ('st olaf ave', 'road')]"
24361,1336 16Th St E,1336 16Th St E,1336,16th st e,,1336 16Th St E,"[('1336', 'house_number'), ('16th st e', 'road')]"
24362,2820 Haliday Cres,2820 Haliday Cres,2820,haliday cres,,2820 Haliday Cres,"[('2820', 'house_number'), ('haliday cres', 'road')]"
24363,409 9025 158Th St,409 9025 158Th St,409 9025,158th st,,409 9025 158Th St,"[('409 9025', 'house_number'), ('158th st', 'road')]"
24364,3525 Dumfries,3525 Dumfries,3525,dumfries,,3525 Dumfries,"[('3525', 'house_number'), ('dumfries', 'road')]"
24365,6 1604 West Bench Road,6 1604 West Bench Road,6 1604,west bench road,,6 1604 West Bench Road,"[('6 1604', 'house_number'), ('west bench road', 'road')]"
24366,1437 Allison Street,1437 Allison Street,1437,allison street,,1437 Allison Street,"[('1437', 'house_number'), ('allison street', 'road')]"
24367,5684 Unsworth Rd,5684 Unsworth Rd,5684,unsworth rd,,5684 Unsworth Rd,"[('5684', 'house_number'), ('unsworth rd', 'road')]"
24368,2900 Upland St,2900 Upland St,2900,upland st,,2900 Upland St,"[('2900', 'house_number'), ('upland st', 'road')]"
