,cityprov
1514,"Ochapowace 71 107 SK, Canada"
1515,"Kilwinning SK, Canada"
1516,"Aldergrove BC, Canada"
1517,"Dundalk ON, Canada"
1518,"Bélair Provincial Forest MB, Canada"
1519,"Lake St George Provincial Park MB, Canada"
1520,"Brokenshell No 68 SK, Canada"
1521,"Fishing Lake Regional Park (Saskin Beach) SK, Canada"
1522,"Dodsland SK, Canada"
1523,"Inchkeith SK, Canada"
1524,"Oakner MB, Canada"
1525,"Stonewall MB, Canada"
1526,"Chief George Barker Wildlife Refuge MB, Canada"
1527,"Purves MB, Canada"
1528,"Chestermere AB, Canada"
1529,"Lieu historique national du Canada de la Maison Riel MB, Canada"
1530,"Osgoode ON, Canada"
1531,"Novra MB, Canada"
1532,"Leroy No 339 SK, Canada"
1533,"Lafleche SK, Canada"
1534,"Gloucester ON, Canada"
1535,"Kiskaciwan 208 SK, Canada"
1536,"Ochapowace 71 82 SK, Canada"
1537,"Java SK, Canada"
1538,"Grenfell SK, Canada"
1539,"La Loche West SK, Canada"
1540,"Tummel MB, Canada"
1541,"Red Deer Lake MB, Canada"
1542,"Helston MB, Canada"
1543,"Pleasant Point MB, Canada"
1544,"Waubaushene ON, Canada"
1545,"Melfort and District Regional Park SK, Canada"
1546,"Eagle Ridge Country Estates SK, Canada"
1547,"Minnedosa MB, Canada"
1548,"Horseshoe Bay SK, Canada"
1549,"Menzie MB, Canada"
1550,"Grande Point Settlement MB, Canada"
1551,"Normanview SK, Canada"
1552,"Seven Oaks MB, Canada"
1553,"Marshy Point Goose Refuge MB, Canada"
1554,"Good Harbour MB, Canada"
1555,"Beardy's & Okemasis 96 & 97 C SK, Canada"
1556,"Smoky Lake AB, Canada"
1557,"Chateauguay QC, Canada"
1558,"Roseau Rapids 2A MB, Canada"
1559,"Ile a la Crosse SK, Canada"
1560,"Harte MB, Canada"
1561,"Helena Lake SK, Canada"
1562,"Oakbank MB, Canada"
1563,"Maurice Street Protected Area SK, Canada"
1564,"Balsam Bay MB, Canada"
1565,"J Unrau Wildlife Refuge MB, Canada"
1566,"Ridgeville MB, Canada"
1567,"Pinawa Bay MB, Canada"
1568,"Perth ON, Canada"
1569,"Ste Geneviève MB, Canada"
1570,"Assiniboia SK, Canada"
1571,"North Rosetown SK, Canada"
1572,"River East MB, Canada"
1573,"Blackstrap Provincial Park SK, Canada"
1574,"Lanigan SK, Canada"
1575,"Halvorgate SK, Canada"
1576,"Harmsworth MB, Canada"
1577,"Cutbank SK, Canada"
1578,"St constant QC, Canada"
1579,"Laval Des Rapides QC, Canada"
1580,"Linden Woods MB, Canada"
1581,"Onanole Wildlife Management Area MB, Canada"
1582,"Cayer MB, Canada"
1583,"Treesbank Ferry MB, Canada"
1584,"Brochet 197 MB, Canada"
1585,"Neighbour SK, Canada"
1586,"Wasaga Beach ON, Canada"
1587,"Muskowekwan 85 28 SK, Canada"
1588,"Silver Harbour MB, Canada"
1589,"Notre Dame NB, Canada"
1590,"Breckenridge QC, Canada"
1591,"Conception Bay South NL, Canada"
1592,"English River First Nation Cable Bay Cree Lake 192N SK, Canada"
1593,"New Currie SK, Canada"
1594,"Green Ridge MB, Canada"
1595,"Kistapinan 211 SK, Canada"
1596,"Herbert SK, Canada"
1597,"Meota No 468 SK, Canada"
1598,"Takipy MB, Canada"
1599,"Munro Lake MB, Canada"
1600,"Weir River MB, Canada"
1601,"Copeland SK, Canada"
1602,"Stayner ON, Canada"
1603,"St Laurent MB, Canada"
1604,"Kelstern SK, Canada"
1605,"Mistiategameek Sipi MB, Canada"
1606,"Nelson House 170B MB, Canada"
1607,"Lawtonia No 135 SK, Canada"
1608,"Neville SK, Canada"
1609,"Hampstead QC, Canada"
1610,"Norway House 17C 21 MB, Canada"
1611,"Candle Lake SK, Canada"
1612,"Bernice Wildlife Management Area MB, Canada"
1613,"Earl Grey SK, Canada"
1614,"Melaval SK, Canada"
1615,"Invermay SK, Canada"
1616,"Pth 10 Sapotaweyak MB, Canada"
1617,"Cedar Villa Estates SK, Canada"
1618,"Highgate SK, Canada"
1619,"Mckay 209 SK, Canada"
1620,"Overton MB, Canada"
1621,"Simonhouse MB, Canada"
1622,"Holland MB, Canada"
1623,"Muskowekwan Reserve 85 71 SK, Canada"
1624,"Manawanstawayak 230 SK, Canada"
1625,"Marchwell SK, Canada"
1626,"Bremen SK, Canada"
1627,"Northgate SK, Canada"
1628,"Moak Lake MB, Canada"
1629,"Mazenod SK, Canada"
1630,"Bapaume SK, Canada"
1631,"Summerside PE, Canada"
1632,"Munroe MB, Canada"
1633,"Beaverton ON, Canada"
1634,"Moncton NB, Canada"
1635,"Beach Junction MB, Canada"
1636,"Sipiwesk MB, Canada"
1637,"Killarney MB, Canada"
1638,"Four Corners SK, Canada"
1639,"Peguis 1B MB, Canada"
1640,"Agassiz BC, Canada"
1641,"Beaver MB, Canada"
1642,"Albert Park SK, Canada"
1643,"Bakers Narrows Provincial Park MB, Canada"
1644,"Hollow Water MB, Canada"
1645,"Milestone SK, Canada"
1646,"Englefeld SK, Canada"
1647,"Cross Lake 19x01 MB, Canada"
1648,"Grimsby ON, Canada"
1649,"Fairview MB, Canada"
1650,"Scotts Hill MB, Canada"
1651,"Westwood MB, Canada"
1652,"Keeseekoose 66 Ca 01 SK, Canada"
1653,"Carroll MB, Canada"
1654,"Island Beach MB, Canada"
1655,"Gatehouse Island Wildlife Refuge SK, Canada"
1656,"Halbrite SK, Canada"
1657,"Glen Payne SK, Canada"
1658,"Cowichan Bay BC, Canada"
1659,"Pine Bluff MB, Canada"
1660,"Galilee SK, Canada"
1661,"Stead MB, Canada"
1662,"Keeseekoose 66 St 02 SK, Canada"
1663,"Glenella MB, Canada"
1664,"Howden MB, Canada"
1665,"Moosomin 112F SK, Canada"
1666,"Learys MB, Canada"
1667,"Indian Head No 156 SK, Canada"
1668,"Crescent View SK, Canada"
1669,"Goldenvale SK, Canada"
1670,"Keeseekoose 66 Co 01 SK, Canada"
1671,"Dubreuilville ON, Canada"
1672,"Chemawawin 3 MB, Canada"
1673,"Chimo Resort MB, Canada"
1674,"Ninette MB, Canada"
1675,"Crysler ON, Canada"
1676,"Turnbull MB, Canada"
1677,"Paris ON, Canada"
1678,"Mistawasis 103E SK, Canada"
1679,"Lady Lake SK, Canada"
1680,"Carry The Kettle 76 73 SK, Canada"
1681,"Wahnapitae ON, Canada"
1682,"Granby QC, Canada"
1683,"Fisher River Cree Nation MB, Canada"
1684,"Neketawak MB, Canada"
1685,"Sainte Genevieve QC, Canada"
1686,"Wallace MB, Canada"
1687,"Cardinal ON, Canada"
1688,"Haines Junction YT, Canada"
1689,"Edenwold No 158 SK, Canada"
1690,"Milly SK, Canada"
1691,"Estevan Cambria Wildlife Management Unit SK, Canada"
1692,"Craik SK, Canada"
1693,"Ministikwan 161 SK, Canada"
1694,"Dufferin MB, Canada"
1695,"Shell River MB, Canada"
1696,"Muskowekwan 85 43 SK, Canada"
1697,"Melnice MB, Canada"
1698,"Kinley SK, Canada"
1699,"Hull QC, Canada"
1700,"Cannington Lake SK, Canada"
1701,"Elbow Lake SK, Canada"
1702,"Kisipikamak MB, Canada"
1703,"Anglia SK, Canada"
1704,"Riverside MB, Canada"
1705,"Scotch Bay MB, Canada"
1706,"Kosapechekanesik MB, Canada"
1707,"Fall River NS, Canada"
1708,"Ochapowace 71 30 SK, Canada"
1709,"Comox BC, Canada"
1710,"Denbeigh Point MB, Canada"
1711,"Beaver Valley SK, Canada"
1712,"Dafoe River MB, Canada"
1713,"Noonan NB, Canada"
1714,"Bayview Heights SK, Canada"
1715,"Dakota Tipi 1 MB, Canada"
1716,"Ochapowace 71 53 SK, Canada"
1717,"Cumberland ON, Canada"
1718,"Merritt BC, Canada"
1719,"Eatonia SK, Canada"
1720,"Transcona Industrial Area MB, Canada"
1721,"Margaret Bruce Provincial Park MB, Canada"
1722,"Nelson House 170C MB, Canada"
1723,"Leifur MB, Canada"
1724,"Denholm SK, Canada"
1725,"Melville Regional Park SK, Canada"
1726,"Beloeil QC, Canada"
1727,"North Cypress MB, Canada"
1728,"Hawarden SK, Canada"
1729,"Hafford SK, Canada"
1730,"Rogers MB, Canada"
1731,"Juniper SK, Canada"
1732,"McLean SK, Canada"
1733,"Kinistin 91A SK, Canada"
1734,"Mullingar SK, Canada"
1735,"Fredericton Junction NB, Canada"
1736,"Hazel Dell SK, Canada"
1737,"Carry The Kettle 76 35 SK, Canada"
1738,"Clearwater Lake MB, Canada"
1739,"Demaine SK, Canada"
1740,"Medstead No 497 SK, Canada"
1741,"Peguis 1D MB, Canada"
1742,"Grande Anse NB, Canada"
1743,"Norway House 17C 38 MB, Canada"
1744,"Dorchester NB, Canada"
1745,"Drummondville QC, Canada"
1746,"Caledon Village ON, Canada"
1747,"Libau MB, Canada"
1748,"Keeseekoose 66 Ch 03 SK, Canada"
1749,"Mellenville MB, Canada"
1750,"Saint Franois de Madawaska NB, Canada"
1751,"Liverpool NS, Canada"
1752,"Canoe Lake Recreation Site SK, Canada"
1753,"Nunalla MB, Canada"
1754,"Ailsa Craig ON, Canada"
1755,"Grand Marais MB, Canada"
1756,"Oakburn MB, Canada"
1757,"Lipp's Beach SK, Canada"
1758,"Fishing Lake Wildlife Refuge SK, Canada"
1759,"Tillsonburg ON, Canada"
1760,"Queens Valley MB, Canada"
1761,"Turtle Mountain Provincial Park MB, Canada"
1762,"Daysville SK, Canada"
1763,"Neveton MB, Canada"
1764,"Prominent Ridge MB, Canada"
1765,"Big Black River MB, Canada"
1766,"Wapah MB, Canada"
1767,"Indian Springs MB, Canada"
1768,"Kingston NB, Canada"
1769,"Kirkfield ON, Canada"
1770,"Woodhaven MB, Canada"
1771,"Gilwell Estates MB, Canada"
1772,"Langenburg SK, Canada"
1773,"Ochapowace 71 56 SK, Canada"
1774,"Ste Amélie MB, Canada"
1775,"Brandon Hills MB, Canada"
1776,"Muskowekwan 85 53 SK, Canada"
1777,"Chitek Lake SK, Canada"
1778,"Loch Woods MB, Canada"
1779,"Metikewap MB, Canada"
1780,"Neso Lake Provincial Park MB, Canada"
1781,"Dundee NB, Canada"
1782,"Norway House Cree Nation Okowi Sikuhigan MB, Canada"
1783,"Herchmer MB, Canada"
1784,"Notigi MB, Canada"
1785,"Davidson SK, Canada"
1786,"Petrel MB, Canada"
1787,"Hill Crest SK, Canada"
1788,"Muskowekwan 85 31 SK, Canada"
1789,"Cabri SK, Canada"
1790,"St Martin Junction MB, Canada"
1791,"Garson Quarry Station MB, Canada"
1792,"Grifton MB, Canada"
1793,"Port Hope ON, Canada"
1794,"Camp Dundurn SK, Canada"
1795,"Elmvale ON, Canada"
1796,"Irvington SK, Canada"
1797,"Moosomin 112P SK, Canada"
1798,"Steels Ferry MB, Canada"
1799,"Opaskwayak Cree Nation Salt Channel 21D MB, Canada"
1800,"Primrose Provincial Park MB, Canada"
1801,"Roy Lake Game Bird Refuge MB, Canada"
1802,"Kamsack SK, Canada"
1803,"Mather MB, Canada"
1804,"Winfield BC, Canada"
1805,"Hallboro MB, Canada"
1806,"City View SK, Canada"
1807,"Menisino MB, Canada"
1808,"Grande Digue NB, Canada"
1809,"Lac Île à la Crosse (South Bay) Recreation Site SK, Canada"
1810,"Altamont MB, Canada"
1811,"Brereton Lake MB, Canada"
1812,"Maybank MB, Canada"
1813,"Coniston ON, Canada"
1814,"Saint Andr NB, Canada"
1815,"Grants Lake Wildlife Management Area MB, Canada"
1816,"Sandy Lake MB, Canada"
1817,"Luseland SK, Canada"
1818,"Dorintosh SK, Canada"
1819,"Melba SK, Canada"
1820,"Souris MB, Canada"
1821,"Prayer River MB, Canada"
1822,"East Poplar SK, Canada"
1823,"The Pas MB, Canada"
1824,"Hallonquist SK, Canada"
1825,"Belleville ON, Canada"
1826,"Gouldtown SK, Canada"
1827,"Wye MB, Canada"
1828,"Roseau River MB, Canada"
1829,"Part War Lake B MB, Canada"
1830,"Inuvik NT, Canada"
1831,"Carleton Place ON, Canada"
1832,"Cloan SK, Canada"
1833,"Johnstown ON, Canada"
1834,"Paradise Hill SK, Canada"
1835,"Dahinda SK, Canada"
1836,"Candiac QC, Canada"
1837,"Makaroff MB, Canada"
1838,"Downe SK, Canada"
1839,"Ophir MB, Canada"
1840,"Plum Coulee MB, Canada"
1841,"Peguis 1E MB, Canada"
1842,"Environ SK, Canada"
1843,"Fredensthal West MB, Canada"
1844,"Reinfeld MB, Canada"
1845,"Meota SK, Canada"
1846,"Washow Bay MB, Canada"
1847,"Katepwa Point Provincial Park SK, Canada"
1848,"Roblaytin MB, Canada"
1849,"Blucher SK, Canada"
1850,"Kerrobert SK, Canada"
1851,"Norway House 17C 6 MB, Canada"
1852,"Little Ridge MB, Canada"
1853,"Little Birch Wildlife Management Area MB, Canada"
1854,"Marriott No 317 SK, Canada"
1855,"Elmsthorpe No 100 SK, Canada"
1856,"Woodside MB, Canada"
1857,"Durban MB, Canada"
1858,"Happy Valley goose Bay NL, Canada"
1859,"Sifton Junction MB, Canada"
1860,"Mendham SK, Canada"
1861,"Marcelin SK, Canada"
1862,"McLennan Lake SK, Canada"
1863,"Abound SK, Canada"
1864,"Halkett SK, Canada"
1865,"Lyddal MB, Canada"
1866,"Muskowekwan 85 16 SK, Canada"
1867,"Keystown SK, Canada"
1868,"Beaver Creek MB, Canada"
1869,"Seguin ON, Canada"
1870,"Fulton MB, Canada"
1871,"Bryant SK, Canada"
1872,"Booth SK, Canada"
1873,"Miklavik MB, Canada"
1874,"Norway House 17B MB, Canada"
1875,"Matheson Island MB, Canada"
1876,"Crescent Lake SK, Canada"
1877,"Lorado SK, Canada"
1878,"Richmond West MB, Canada"
1879,"Cando SK, Canada"
1880,"Douglas Provincial Park SK, Canada"
1881,"Brocket AB, Canada"
1882,"Kronau SK, Canada"
1883,"Insinger SK, Canada"
1884,"Whithorn MB, Canada"
1885,"Stanley Centennial Park MB, Canada"
1886,"Clair NB, Canada"
1887,"Trent River ON, Canada"
1888,"Goudie SK, Canada"
1889,"Woodville ON, Canada"
1890,"Baragar MB, Canada"
1891,"Dutton ON, Canada"
1892,"Badger MB, Canada"
1893,"Athabasca Sand Dunes Provincial Park SK, Canada"
1894,"Moose Mountain Provincial Forest SK, Canada"
1895,"Binscarth MB, Canada"
1896,"Ochapowace 71 132 SK, Canada"
1897,"Opaskwayak Cree Nation 21P MB, Canada"
1898,"Danielson Provincial Park SK, Canada"
1899,"Mistusinne SK, Canada"
1900,"Ste Rose Du Lac MB, Canada"
1901,"Meridian Creek Recreation Site SK, Canada"
1902,"Northern Provincial Forest SK, Canada"
1903,"Muskowekwan 85 52 SK, Canada"
1904,"Ochapowace 71 66 SK, Canada"
1905,"Long Plain MB, Canada"
1906,"Cotham SK, Canada"
1907,"Norway House 17C 39 MB, Canada"
1908,"North Saskatoon SK, Canada"
1909,"MacNutt SK, Canada"
1910,"Camp 10 Lake Recreation Site SK, Canada"
1911,"Underhill MB, Canada"
1912,"Thunder Bay ON, Canada"
1913,"Willow Island MB, Canada"
1914,"Invermay No 305 SK, Canada"
1915,"Eldred SK, Canada"
1916,"Carry The Kettle 76 20 SK, Canada"
1917,"Avalon SK, Canada"
1918,"Windsor Park MB, Canada"
1919,"Gunnar SK, Canada"
1920,"Meadowlands MB, Canada"
1921,"Leask No 464 SK, Canada"
1922,"Otter Falls MB, Canada"
1923,"McCafferty Landing MB, Canada"
1924,"The Narrows 49A MB, Canada"
1925,"Hayland MB, Canada"
1926,"Chortitz SK, Canada"
1927,"Opaskwayak Cree Nation Rocky Lake Interior MB, Canada"
1928,"Brandon MB, Canada"
1929,"Kahkewistahaw 72H SK, Canada"
1930,"Cominco SK, Canada"
1931,"South Knife Lake MB, Canada"
1932,"Ralston MB, Canada"
1933,"Hughton SK, Canada"
1934,"Indian Gardens 8 MB, Canada"
1935,"Maymont Beach SK, Canada"
1936,"Carry The Kettle 76 42 SK, Canada"
1937,"Opaskwayak Cree Nation Root Lake 231 MB, Canada"
1938,"Alexandria ON, Canada"
1939,"Muskowekwan 85 2A SK, Canada"
1940,"L'ile bizard QC, Canada"
1941,"McArthur Falls MB, Canada"
1942,"Burford ON, Canada"
1943,"Cookstown ON, Canada"
1944,"Gye SK, Canada"
1945,"La Ronge SK, Canada"
1946,"Belleview MB, Canada"
1947,"Morneau SK, Canada"
1948,"Crutwell SK, Canada"
1949,"Johnsonkank MB, Canada"
1950,"Fond du Lac SK, Canada"
1951,"Hartwell SK, Canada"
1952,"Oxford House MB, Canada"
1953,"Otterburne MB, Canada"
1954,"Medora MB, Canada"
1955,"Pefferlaw ON, Canada"
1956,"Golden West No 95 SK, Canada"
1957,"Lavinia MB, Canada"
1958,"Birchwood MB, Canada"
1959,"Kinoosao Thomas Clark 204 SK, Canada"
1960,"Harrowby MB, Canada"
1961,"Knox MB, Canada"
1962,"Mountain View No 318 SK, Canada"
1963,"Moosomin 112G SK, Canada"
1964,"Arnheim Place SK, Canada"
1965,"Culross MB, Canada"
1966,"Glenora MB, Canada"
1967,"St Andrew's Rectory National Historic Site of Canada MB, Canada"
1968,"Crossfield AB, Canada"
1969,"Teslin YT, Canada"
1970,"McEachern SK, Canada"
1971,"Horseshoe Lake Wildlife Refuge SK, Canada"
1972,"Ochapowace 71 74 SK, Canada"
1973,"Amazon SK, Canada"
1974,"Falcon Beach MB, Canada"
1975,"Longburn MB, Canada"
1976,"Bolney SK, Canada"
1977,"Silcox MB, Canada"
1978,"Morris No 312 SK, Canada"
1979,"Minowukaw Beach SK, Canada"
1980,"Fox Valley SK, Canada"
1981,"Glen Ewen SK, Canada"
1982,"Shoal Lake 39 MB, Canada"
1983,"Glencoe ON, Canada"
1984,"Earnscliffe SK, Canada"
1985,"Lieu historique national du Canada de Lower Fort Garry MB, Canada"
1986,"Bowser BC, Canada"
1987,"Clouston SK, Canada"
1988,"Graham MB, Canada"
1989,"Millbrook MB, Canada"
1990,"Atik MB, Canada"
1991,"Valley Gardens MB, Canada"
1992,"Hume SK, Canada"
1993,"Laura SK, Canada"
1994,"East Elmwood MB, Canada"
1995,"Linklater MB, Canada"
1996,"Leader SK, Canada"
1997,"Oak Brae MB, Canada"
1998,"Root Lake MB, Canada"
1999,"Ochapowace 71 43 SK, Canada"
2000,"La Salle MB, Canada"
2001,"East Gwillimbury ON, Canada"
2002,"Dominion Heights SK, Canada"
2003,"Frankslake SK, Canada"
2004,"Gilroy SK, Canada"
2005,"Buffalo Point MB, Canada"
2006,"Carrot River 29A SK, Canada"
2007,"Spruce Woods Provincial Park MB, Canada"
2008,"Erwood SK, Canada"
2009,"Eskbank SK, Canada"
2010,"Orleans ON, Canada"
2011,"Besnard Lake Recreation Site SK, Canada"
2012,"Lac Brochet 197A MB, Canada"
2013,"Cantal SK, Canada"
2014,"Lumby BC, Canada"
2015,"Sioux Valley 58A MB, Canada"
2016,"Standard AB, Canada"
2017,"Limestone Lake Recreation Site SK, Canada"
2018,"Hoey SK, Canada"
2019,"Leakville SK, Canada"
2020,"Mohr's Beach SK, Canada"
2021,"Albert MB, Canada"
2022,"Watson P Davidson Wildlife Management Area MB, Canada"
2023,"Gladmer SK, Canada"
2024,"Altbergthal MB, Canada"
2025,"Okanese 82 (DD) SK, Canada"
2026,"Thornhill MB, Canada"
2027,"Campbellford ON, Canada"
2028,"Canwood SK, Canada"
2029,"Crichton SK, Canada"
2030,"North Grove SK, Canada"
2031,"Hawker SK, Canada"
2032,"Crofton BC, Canada"
2033,"Last Mountain SK, Canada"
2034,"Stephenfield MB, Canada"
2035,"North York ON, Canada"
2036,"Dakota Crossing MB, Canada"
2037,"Cross SK, Canada"
2038,"Shoal River MB, Canada"
2039,"Francis SK, Canada"
2040,"Pulp River MB, Canada"
2041,"St James MB, Canada"
2042,"Marengo SK, Canada"
2043,"Rembrandt Wildlife Management Area MB, Canada"
2044,"Crescent Cove Beach MB, Canada"
2045,"Bathurst NB, Canada"
2046,"Glenside No 377 SK, Canada"
2047,"Parkdale Heights MB, Canada"
2048,"Pachapesihk Wasahow MB, Canada"
2049,"Crystal Beach Game Preserve SK, Canada"
2050,"Sleeve Lake Wildlife Management Area MB, Canada"
2051,"Ochapowace 71 127 SK, Canada"
2052,"Westlake Wildlife Management Area MB, Canada"
2053,"Edmore SK, Canada"
2054,"Nain NL, Canada"
2055,"Duck Mountain Provincial Forest SK, Canada"
2056,"Lancer SK, Canada"
2057,"Shellmouth Boulton MB, Canada"
2058,"Ocean Man 69I SK, Canada"
2059,"Chelan SK, Canada"
2060,"Stratford ON, Canada"
2061,"Otto MB, Canada"
2062,"Elgin MB, Canada"
2063,"Downtown MB, Canada"
2064,"Weiden MB, Canada"
2065,"Lampman SK, Canada"
2066,"Kristnes SK, Canada"
2067,"De Salaberry MB, Canada"
2068,"Fosston SK, Canada"
2069,"Reinland MB, Canada"
2070,"Colmer SK, Canada"
2071,"Ogema Regional Park SK, Canada"
2072,"Buffalo Horn SK, Canada"
2073,"Four Portages 157C SK, Canada"
2074,"Edam SK, Canada"
2075,"Ochapowace 71 21 SK, Canada"
2076,"Wuskwi Sipihk 8 MB, Canada"
2077,"Muscow SK, Canada"
2078,"Ozerna MB, Canada"
2079,"Barvas SK, Canada"
2080,"Keppel SK, Canada"
2081,"Reindeer Island Ecological Reserve MB, Canada"
2082,"Kettle Stones Provincial Park MB, Canada"
2083,"Patricia Beach MB, Canada"
2084,"Mossbank SK, Canada"
2085,"Winnipeg Beach Provincial Park MB, Canada"
2086,"Lee River Falls MB, Canada"
2087,"Treherne MB, Canada"
2088,"Ochapowace 71 91 SK, Canada"
2089,"Ochre River MB, Canada"
2090,"Little Saskatchewan 48 MB, Canada"
2091,"Swan Pelican Provincial Forest MB, Canada"
2092,"Magyar SK, Canada"
2093,"Elk Island Provincial Park MB, Canada"
2094,"Mount Hope Wildlife Management Unit SK, Canada"
2095,"Sarnia ON, Canada"
2096,"St bruno de montarville QC, Canada"
2097,"Harris No 316 SK, Canada"
2098,"Keeseekoowenin 61 MB, Canada"
2099,"Cromer MB, Canada"
2100,"Suwanne Lake MB, Canada"
2101,"Murphy Creek SK, Canada"
2102,"Willbeach MB, Canada"
2103,"Carry The Kettle 76 30 SK, Canada"
2104,"Sunville MB, Canada"
2105,"Ochapowace 71 46 SK, Canada"
2106,"Ochapowace 71 34 SK, Canada"
2107,"Duck Mountain Wildlife Refuge MB, Canada"
2108,"St Pierre Jolys MB, Canada"
2109,"Loomis SK, Canada"
2110,"East Kildonan MB, Canada"
2111,"Tourond MB, Canada"
2112,"Andrews Lake Game Preserve SK, Canada"
2113,"Rolling River 67 MB, Canada"
2114,"Waverley MB, Canada"
2115,"Grassdale SK, Canada"
2116,"Arnes MB, Canada"
2117,"Govan SK, Canada"
2118,"Sandridge Wildlife Management Area MB, Canada"
2119,"Ochapowace 71 94 SK, Canada"
2120,"Marchand Provincial Park MB, Canada"
2121,"Lindsay ON, Canada"
2122,"Exira MB, Canada"
2123,"Ocean Man 69X SK, Canada"
2124,"Tide Head NB, Canada"
2125,"Atwater SK, Canada"
2126,"English River 192H SK, Canada"
2127,"Clearwater MB, Canada"
2128,"Metigoshe MB, Canada"
2129,"Manipogo Provincial Park MB, Canada"
2130,"Bushell Park SK, Canada"
2131,"Mattes SK, Canada"
2132,"St Jean Baptiste MB, Canada"
2133,"Odei River MB, Canada"
2134,"Cypress Lake Recreation Site SK, Canada"
2135,"Lonely Lake MB, Canada"
2136,"Martinson's Beach SK, Canada"
2137,"South Mountain ON, Canada"
2138,"Mount Royal SK, Canada"
2139,"Eldorado SK, Canada"
2140,"Hopedale NL, Canada"
2141,"Domremy SK, Canada"
2142,"Merrickville ON, Canada"
2143,"Newcombe Wildlife Management Unit No 2 SK, Canada"
2144,"Balone Beach SK, Canada"
2145,"Newcombe No 260 SK, Canada"
2146,"South Tuxedo MB, Canada"
2147,"Proulx Lake Wildlife Management Area MB, Canada"
2148,"Little Saskatchewan River Wildlife Management Area MB, Canada"
2149,"Wekusko MB, Canada"
2150,"Beach Lake MB, Canada"
2151,"Drifting River MB, Canada"
2152,"Oxford NS, Canada"
2153,"Cater SK, Canada"
2154,"Rainbow Beach Provincial Park MB, Canada"
2155,"Dufresne MB, Canada"
2156,"Sainte Anne de Kent NB, Canada"
2157,"Fort Pelly SK, Canada"
2158,"Craik and District Regional Park SK, Canada"
2159,"Franklin MB, Canada"
2160,"Carry The Kettle 76 7 SK, Canada"
2161,"Centreville NB, Canada"
2162,"Hillsborough NB, Canada"
2163,"Harrowsmith ON, Canada"
2164,"Richmond Lakes MB, Canada"
2165,"McLaren Lake Regional Park SK, Canada"
2166,"Neely SK, Canada"
2167,"Skelding MB, Canada"
2168,"Brewster Bay MB, Canada"
2169,"Brantford ON, Canada"
2170,"Norway House 17C 10 MB, Canada"
2171,"Komarno MB, Canada"
2172,"Dundonald SK, Canada"
2173,"Macklin SK, Canada"
2174,"Albert SK, Canada"
2175,"Mayo YT, Canada"
2176,"Eyre SK, Canada"
2177,"Mulvihill MB, Canada"
2178,"Fredensthal MB, Canada"
2179,"Bures SK, Canada"
2180,"Deer Lake NL, Canada"
2181,"Barthel SK, Canada"
2182,"SeeSeep Sakahikan MB, Canada"
2183,"Kistapinanihk 231 SK, Canada"
2184,"Edmundston NB, Canada"
2185,"Chester No 125 SK, Canada"
2186,"Warooman SK, Canada"
2187,"Bengough Regional Park SK, Canada"
2188,"Mankota SK, Canada"
2189,"Beaumont AB, Canada"
2190,"Hudson Bay No 394 SK, Canada"
2191,"Hillsburg MB, Canada"
2192,"Kapuskaypachik MB, Canada"
2193,"St Marks MB, Canada"
2194,"Nutana Park South SK, Canada"
2195,"Wawanesa MB, Canada"
2196,"Norway House 17C 7 MB, Canada"
2197,"Kahkewistahaw 72L SK, Canada"
2198,"Nisbet Provincial Forest SK, Canada"
2199,"Ochapowace 71 15 SK, Canada"
2200,"Langruth MB, Canada"
2201,"Baie Sainte Anne NB, Canada"
2202,"Osborne MB, Canada"
2203,"Instow SK, Canada"
2204,"Beachville ON, Canada"
2205,"Kapeeseewinik MB, Canada"
2206,"Marieton SK, Canada"
2207,"Birch Hills No 460 SK, Canada"
2208,"Amisk Lake Recreation Site SK, Canada"
2209,"Kenville MB, Canada"
2210,"St Joseph MB, Canada"
2211,"Keeseekoose 66 Sa 01 SK, Canada"
2212,"Oxford House 24c MB, Canada"
2213,"Cantin Lake MB, Canada"
2214,"Criddle/Vane Homestead Provincial Park MB, Canada"
2215,"Musquobodoboit Harbour NS, Canada"
2216,"Crooked Lake Provincial Park SK, Canada"
2217,"Bakers Narrows MB, Canada"
2218,"Kutawa No 278 SK, Canada"
2219,"Buchanan SK, Canada"
2220,"Baldwinton SK, Canada"
2221,"Winkler MB, Canada"
2222,"Gardiner Heights SK, Canada"
2223,"Morningside SK, Canada"
2224,"Port Perry ON, Canada"
2225,"Wuskwi Sipihk 5 MB, Canada"
2226,"Englehart ON, Canada"
2227,"Assiniboia MB, Canada"
2228,"Stephen NB, Canada"
2229,"Dand MB, Canada"
2230,"Scarth MB, Canada"
2231,"North Shore Fishing Lake SK, Canada"
2232,"Cornwall ON, Canada"
2233,"Fork River MB, Canada"
2234,"C D Falk Wildlife Refuge MB, Canada"
2235,"Grandview Beach SK, Canada"
2236,"Ochapowace 71 65 SK, Canada"
2237,"Benson No 35 SK, Canada"
2238,"Berube Lake Game Preserve SK, Canada"
2239,"Ochapowace 71 32 SK, Canada"
2240,"Trinity Park MB, Canada"
2241,"Fort San SK, Canada"
2242,"Ebb and Flow 52 MB, Canada"
2243,"Glen McPherson No 46 SK, Canada"
2244,"Grasswood SK, Canada"
2245,"Norton NB, Canada"
2246,"Juniata SK, Canada"
2247,"Dauphin River MB, Canada"
2248,"Colonsay SK, Canada"
2249,"Ste Rose MB, Canada"
