,Facility Number,Phone,Region,Area,Neighourhood,School Division,Type of Facility,Age Type,Facility Open On,Total Child Care Spaces,Address,Legal Name
922,102528,(204) 306-8778,WINNIPEG,River Heights,ROCKWOOD,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,52,"333 Wilton  Street Winnipeg, MB ",River Heights Child Care
923,102528,(204) 306-8778,WINNIPEG,River Heights,ROCKWOOD,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,52,"333 Wilton  Street Winnipeg, MB ",River Heights Child Care
924,1204,(204) 258-7043,WINNIPEG,ST. VITAL,MINNETONKA,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,52,"440 River Road Winnipeg, MB ",St. Amant Centre Inc.
925,101408,(204) 942-1668,WINNIPEG,Seven Oaks,WEST ST. PAUL,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,53,"4249 Main  Street West St. Paul, MB ",St. Andrews Child Care Inc.
926,3022,(204) 477-0917,WINNIPEG,River Heights,RIVERVIEW,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"112 Ashland Avenue (Ave) Winnipeg, MB ",Riverview-Ashland Child Care Centre Inc.
927,3022,(204) 477-0917,WINNIPEG,River Heights,RIVERVIEW,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"112 Ashland Avenue (Ave) Winnipeg, MB ",Riverview-Ashland Child Care Centre Inc.
928,2014,(204) 475-1039,WINNIPEG,River Heights,RIVERVIEW,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,32,"Rooms 7 and 9 170 Ashland Avenue (Ave) Winnipeg, MB",MLC Montessori Learning Centre
929,101959,(204 ) 222-2063,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,None,Family or Group Child  Care Home *
930,2207,(204) 885-6054,WINNIPEG,Assiniboine South,ROBLIN PARK,PEMBINA TRAILS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,70,"640 Pepperloaf Crescent Winnipeg, MB ",Roblin Park Community Centre Association Inc.
931,1292,(204) 895-8791,WINNIPEG,Assiniboine South,SOUTHBOINE,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,70,"G & E  - 5905 Roblin Boulevard (Blvd) Winnipeg, MB ",Roblin Park Day Care Ltd.
932,1292,(204) 895-8791,WINNIPEG,Assiniboine South,SOUTHBOINE,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,70,"G & E  - 5905 Roblin Boulevard (Blvd) Winnipeg, MB ",Roblin Park Day Care Ltd.
933,101033,(204) 218-4244,WINNIPEG,ST. BONIFACE,ROYALWOOD,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Robyn Lynne Vujevic
934,9627,(204) 453-6499,WINNIPEG,River Heights,ROCKWOOD,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"Rooms 10,14,15, (Gym,Computer & Library) 350 Rockwood  Street Winnipeg, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
935,101412,(204) 334-7075,WINNIPEG,River East,MUNROE EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,41,"509 Grey Street Winnipeg, MB ",Sunny Mountain Day Care Centre (1985) Inc.
936,50821,(204) 697-2617,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
937,102321,(204) 998-4163,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,"37 Prince Philip Crescent Winnipeg, MB ",Rosalyn Rodriguez
938,100607,(204) 416-8017,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,12,"2178  Manitoba Avenue (Ave) Winnipeg, MB ","Rosemarie Presado, Joshua Presado and Gloria Agravante"
939,101245,(204) 221-2829,WINNIPEG,Point Douglas,INKSTER - FARADAY,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
940,102279,(204) 615-9789,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"132  Sanford Fleming Road Winnipeg, MB ",Rowena Perey
941,102331,(204) 470-6607,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Rowena Quilnet
942,102331,(204) 470-6607,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Rowena Quilnet
943,3089,(204) 837-6955,WINNIPEG,Assiniboine South,VARSITY VIEW,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"Rooms 19, 20, 22, foyer, library and gym 450 Laxdal Road Winnipeg, MB",Royal Kids Inc.
944,1196,(204) 947-3433,WINNIPEG,Downtown,MAIN STREET NORTH,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,41,"107 - 201 Princess  Street Winnipeg, MB ",Rupertsland Day Care Centre Corporation
945,102502,(204) 633-3288,WINNIPEG,Seven Oaks,TEMPLETON - SINCLAIR,SEVEN OAKS SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
946,101369,(204) 997-9423,WINNIPEG,River East,GRASSIE,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
947,101369,(204) 997-9423,WINNIPEG,River East,GRASSIE,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
948,1210,(204) 261-5882,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"Rooms-Kinder,Community,Gym,Multipurpose  10 Ryerson Avenue (Ave) Winnipeg, MB",Ryerson School Age Centre Inc.
949,1210,(204) 261-5882,WINNIPEG,Fort Garry,FORT RICHMOND,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"Rooms-Kinder,Community,Gym,Multipurpose  10 Ryerson Avenue (Ave) Winnipeg, MB",Ryerson School Age Centre Inc.
950,3062,(204) 582-3959,WINNIPEG,Point Douglas,WILLIAM WHYTE,WINNIPEG SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,56,"233 McKenzie Street Winnipeg, MB ",S.P.L.A.S.H. Child Care Inc.
951,1198,(204) 582-3129,WINNIPEG,Point Douglas,ROBERTSON,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"520 Airlies Street Winnipeg, MB ",Sadok Veselka Daycare Inc.
952,1044,(204) 237-8660,WINNIPEG,ST. BONIFACE,NORWOOD EAST,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"240 ave Tache Winnipeg, MB",Saint Boniface Garderie des Bambins Inc.
953,100130,(204) 293-9503,WINNIPEG,Point Douglas,INKSTER - FARADAY,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Sandra Oliveira
954,100599,(204) 632-3691,WINNIPEG,Seven Oaks,SEVEN OAKS,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Gymnasium and Multipurpose Room  25 Morrison Street Winnipeg, MB",Seven Oaks Child Day Care Centre Inc.
955,1050,(204) 632-3691,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,80,"2300 McPhillips Street Winnipeg, MB ",Seven Oaks Child Day Care Centre Inc.
956,2029,(204) 995-7614,WINNIPEG,Seven Oaks,GARDEN CITY,SEVEN OAKS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,35,"Room 2 - 25 Morrison Street Winnipeg, MB ",Seven Oaks Sadok Inc.
957,9322,(204) 889-2810,WINNIPEG,ST. JAMES ASSINIBOINE,WESTWOOD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age",Weekdays,8,None,Shannon Trickett
958,1231,(204) 582-5342,WINNIPEG,Inkster,BURROWS - KEEWATIN,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,83,"Rooms 91,93,98,99,110,111,116 1641 Manitoba  Avenue (Ave) Winnipeg, MB",Shaughnessy Park Daycare Inc.
959,101684,(204) 582-4188,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Family or Group Child  Care Home *
960,9139,(204) 338-6195,WINNIPEG,Point Douglas,ST. JOHN'S,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Shelley Hintz
961,1051,(204) 632-8494,WINNIPEG,Seven Oaks,THE MAPLES,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,72,"1188 Jefferson Avenue (Ave) Winnipeg, MB ",Shepherd's Care Day Nursery Inc.
962,102190,(204) 421-1158,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Shiela Fiestan
963,9600,(204) 421-5369,WINNIPEG,River East,MUNROE EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"47 Pike Crescent Winnipeg, MB ",Shirley Arbeau
964,1250,(204) 885-6476,WINNIPEG,ST. JAMES ASSINIBOINE,BOOTH,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,88,"Rooms 15, 16 & 17 110  Athlone Drive Winnipeg, MB",Sigfusson Nursery Schools Ltd.
965,3120,(204) 889-0435,WINNIPEG,ST. JAMES ASSINIBOINE,BOOTH,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,58,"RM 21, 22 & 23 363 Thompson Drive Winnipeg, MB",Sigfusson Nursery Schools Ltd.
966,3120,(204) 889-0435,WINNIPEG,ST. JAMES ASSINIBOINE,BOOTH,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,58,"RM 21, 22 & 23 363 Thompson Drive Winnipeg, MB",Sigfusson Nursery Schools Ltd.
967,3072,(204) 885-4701,WINNIPEG,ST. JAMES ASSINIBOINE,BUCHANAN,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,30,"815 Buchanan Boulevard (Blvd) Winnipeg, MB ",Sigfusson Nursery Schools Ltd.
968,3072,(204) 885-4701,WINNIPEG,ST. JAMES ASSINIBOINE,BUCHANAN,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,30,"815 Buchanan Boulevard (Blvd) Winnipeg, MB ",Sigfusson Nursery Schools Ltd.
969,1257,(204) 942-8043,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"124, 125 & 126 460 Sargent Avenue (Ave) Winnipeg, MB",Sister Macnamara Preschool and Infant Daycare Inc.
970,1257,(204) 942-8043,WINNIPEG,Downtown,NORTH PORTAGE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"124, 125 & 126 460 Sargent Avenue (Ave) Winnipeg, MB",Sister Macnamara Preschool and Infant Daycare Inc.
971,100698,(204) 661-8004,WINNIPEG,River East,ROSSMERE - A,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"Rm 17,19,gym and Library 505 Sharron Bay Winnipeg, MB",The Young Men's and Young Women's Christian Association of Winnipeg Inc.
972,100808,(204) 661-4441,WINNIPEG,River East,EAST ST. PAUL,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,62,"3202 Birds Hill Road Winnipeg, MB ",Sky's The Limit Montessori School
973,100808,(204) 661-4441,WINNIPEG,River East,EAST ST. PAUL,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,62,"3202 Birds Hill Road Winnipeg, MB ",Sky's The Limit Montessori School
974,100681,(204) 668-4752,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"125 Sun Valley Drive Winnipeg, MB ",Small Scholars Inc.
975,101999,(204) 396-7151,WINNIPEG,River East,RIVER EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,"9 Sage Wood Avenue (Ave) Winnipeg, MB ",Smita Sharma
976,102208,(204) 777-1662,WINNIPEG,River East,EAST ST. PAUL,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,85,"500 - 2476 Wenzel Street East St. Paul, MB ",Solid Foundations Montessori School Inc.
977,1220,(204) 254-0340,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"194 Burland Avenue (Ave) Winnipeg, MB ",South Park Child Care Co-op Inc.
978,1220,(204) 254-0340,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"194 Burland Avenue (Ave) Winnipeg, MB ",South Park Child Care Co-op Inc.
979,100351,(204) 582-3299,WINNIPEG,Point Douglas,ST. JOHN'S,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"363 McGregor  Street Winnipeg, MB ",S.P.L.A.S.H. Child Care Inc
980,3079,(204) 663-9237,WINNIPEG,Transcona,MISSION GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"102,104,105,138,gym,theatre,art,library 95 Bournais  Drive Winnipeg, MB",Spring Meadows School Age Centre Inc.
981,3079,(204) 663-9237,WINNIPEG,Transcona,MISSION GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"102,104,105,138,gym,theatre,art,library 95 Bournais  Drive Winnipeg, MB",Spring Meadows School Age Centre Inc.
982,101192,(204) 235-0863 Ext. 304,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"Rooms S1, S2 & S3  595 Lagimodiere Boulevard (Blvd) Winnipeg, MB",Springs of Living Water Christian Academy Inc.
983,101192,(204) 235-0863 Ext. 304,WINNIPEG,ST. BONIFACE,WINDSOR PARK,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,56,"Rooms S1, S2 & S3  595 Lagimodiere Boulevard (Blvd) Winnipeg, MB",Springs of Living Water Christian Academy Inc.
984,1206,(204) 253-9422,WINNIPEG,ST. VITAL,ST. GEORGE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,63,"425 St. Anne's Road Winnipeg, MB ",St. Anne's Day Nursery Inc.
985,1206,(204) 253-9422,WINNIPEG,ST. VITAL,ST. GEORGE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,63,"425 St. Anne's Road Winnipeg, MB ",St. Anne's Day Nursery Inc.
986,100818,(204) 226-9179,WINNIPEG,Fort Garry,AGASSIZ,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"#8, 9, 10, gym 633  Patricia  Avenue (Ave) Winnipeg, MB",St. Avila School Age Child Care Progam
987,100818,(204) 226-9179,WINNIPEG,Fort Garry,AGASSIZ,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,60,"#8, 9, 10, gym 633  Patricia  Avenue (Ave) Winnipeg, MB",St. Avila School Age Child Care Progam
988,1145,(204) 233-6366,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"365 Desautels Street Winnipeg, MB ",St. Boniface Children's Place d'enfants Inc.(Preschool)
989,3095,(204) 231-2010,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"584 rue Des Meurons Street Winnipeg, MB ",St. Boniface Children's Place d'enfants Inc.
990,3095,(204) 231-2010,WINNIPEG,ST. BONIFACE,CENTRAL ST. BONIFACE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,40,"584 rue Des Meurons Street Winnipeg, MB ",St. Boniface Children's Place d'enfants Inc.
991,9097,(204) 256-2494,WINNIPEG,ST. VITAL,ST. GEORGE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Room 1, 14, Library 151 St. George  Road Winnipeg, MB",The Young Men's And Young Women's Christian Association Of Winnipeg Inc.
992,9097,(204) 256-2494,WINNIPEG,ST. VITAL,ST. GEORGE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,30,"Room 1, 14, Library 151 St. George  Road Winnipeg, MB",The Young Men's And Young Women's Christian Association Of Winnipeg Inc.
993,101257,(204) 451-5757,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,20,"1212 Dakota  Street Winnipeg, MB ",St. Germain Day Care Centre Inc.
994,1219,(204) 256-4757,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,65,"79 John Forsyth Road Winnipeg, MB ",St. Germain Day Care Centre Incorporated
995,2249,(204) 888-5700,WINNIPEG,ST. JAMES ASSINIBOINE,KIRKFIELD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,24,"Room 6 & 8  3180 Mcbey Avenue (Ave) Winnipeg, MB",St. James Assiniboia Montessori School Inc.
996,1261,(204) 831-2978,WINNIPEG,ST. JAMES ASSINIBOINE,WESTWOOD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,94,"3550 Portage Avenue (Ave) Winnipeg, MB ",The Young Men's & Young Women's Christian Association of Winnipeg Inc.
997,101092,(204) 786-2881,WINNIPEG,Downtown,ST. MATTHEWS,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,35,"669 St. Matthews  Avenue (Ave) Winnipeg, MB ",St. Matthews Kids Korner Inc.
998,3024,(204) 772-9713,WINNIPEG,Downtown,DANIEL MCINTYRE,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,48,"525 Agnes Street Winnipeg, MB ",St. Matthews Kids Korner Inc.
999,9654,(204) 475-4045,WINNIPEG,Fort Garry,MAYBANK,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,154,"2nd and 3rd Floor 1619 Pembina Highway Winnipeg, MB",St. Maurice Day Care Inc.
1000,9654,(204) 475-4045,WINNIPEG,Fort Garry,MAYBANK,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,154,"2nd and 3rd Floor 1619 Pembina Highway Winnipeg, MB",St. Maurice Day Care Inc.
1001,100042,(204) 284-0881,WINNIPEG,Fort Garry,PEMBINA STRIP,PEMBINA TRAILS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,240,"1A&B,2A&B,3A&B,4A&B,5A&B,6A&B,lowerlevel 1639 Pembina Highway Winnipeg, MB",St. Maurice Daycare Inc.
1002,1160,(204) 261-4114,WINNIPEG,Fort Garry,ST. NORBERT,SEINE RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,84,"3448 Pembina  Highway Winnipeg , MB ",St. Norbert Children's Centre Inc.
1003,1160,(204) 261-4114,WINNIPEG,Fort Garry,ST. NORBERT,SEINE RIVER SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,84,"3448 Pembina  Highway Winnipeg , MB ",St. Norbert Children's Centre Inc.
1004,100814,(204) 415-4125,WINNIPEG,ST. VITAL,GLENWOOD,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,64,"29 Des Meurons Street Winnipeg, MB ",St. Therese Child Care
1005,1048,(204) 253-2849,WINNIPEG,ST. VITAL,ST. GEORGE,LOUIS RIEL SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,67,"15 St. Michael Road Winnipeg, MB ",St. Vital Child Care Co-op Inc.
1006,3092,(204) 694-0855,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,135,"109-111,133-134,138-139,143,P4,10,11,214 27,29 - 2424 King Edward Street Winnipeg, MB",Stanley Knowles Children's Centre Inc.
1007,1244,(204) 694-5121,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,44,"112 - 2424 King Edward Street Winnipeg, MB ",Stanley Knowles Pre-School Centre Inc.
1008,1244,(204) 694-5121,WINNIPEG,Inkster,TYNDALL PARK,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,44,"112 - 2424 King Edward Street Winnipeg, MB ",Stanley Knowles Pre-School Centre Inc.
1009,2160,(204) 224-4795,WINNIPEG,Transcona,KERN PARK,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,20,"400 Day Street Winnipeg, MB ",Starlight Christian Nursery School Inc.
1010,1024,(204) 669-6957,WINNIPEG,River East,MUNROE EAST,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,64,"114 - 1100 Concordia Avenue (Ave) Winnipeg, MB ",Stars of Promise Inc.
1011,1247,(204) 222-4779,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age","Weekdays, Evenings",40,"Rooms 103,104,110,213 gym, meeting area 131 Sanford Fleming Road Winnipeg, MB",Story Book Day Care Centre Inc.
1012,3106,(204) 222-8358,WINNIPEG,Transcona,MEADOWS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,65,"115 Sanford Fleming Road Winnipeg, MB ",Story Book Day Care Centre Inc.
1013,3027,(204) 837-4097,WINNIPEG,ST. JAMES ASSINIBOINE,SILVER HEIGHTS,ST.JAMES-ASSINIBOIA SCHOOL DIV,Centre,"Infant, Preschool, School Age",Weekdays,83,"RM. 31,32,33,34,35,36, small Gym 339 Strathmillan Road Winnipeg, MB",Strathmillan Children's Centre Inc.
1014,102095,(204) 339-4345,WINNIPEG,Seven Oaks,RIVERBEND,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,126,"Childcare Centre, 2 Gyms, 100, 101, 104 55 Swinford Way Winnipeg, MB",Sugar N' Spice Kiddie Haven Inc.
1015,1054,(204) 339-4992,WINNIPEG,Seven Oaks,RIVERBEND,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,160,"123 Red River Boulevard (Blvd) W Winnipeg, MB ",Sugar N' Spice Kiddie Haven Inc.
1016,100849,(204) 334-6357,WINNIPEG,Seven Oaks,RIVERGROVE,SEVEN OAKS SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,74,"Child Care Centre 101 Ridgecrest Avenue (Ave) Winnipeg, MB",Sugar N' Spice Kiddie Haven Inc.
1017,1055,(204) 334-7075,WINNIPEG,Seven Oaks,JEFFERSON,SEVEN OAKS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,123,"Unit 4 - 1965 Main Street Winnipeg, MB ",Sunny Mountain Day Care Centre (1985) Inc.
1018,1055,(204) 334-7075,WINNIPEG,Seven Oaks,JEFFERSON,SEVEN OAKS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age",Weekdays,123,"Unit 4 - 1965 Main Street Winnipeg, MB ",Sunny Mountain Day Care Centre (1985) Inc.
1019,1056,(204) 832-4376,WINNIPEG,Assiniboine South,ERIC COY,PEMBINA TRAILS SCHOOL DIVISION,Centre/Nursery,"Infant, Preschool, School Age","Weekdays, Evenings",146,"Room 7, 8 and 10 530 Dieppe Road Winnipeg, MB",Sunnyside Child Care Centre Inc.
1020,80204,(204) 415-2866,WINNIPEG,River East,VALLEY GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,55,"Rooms 29,30 and 33  795 Prince Rupert Avenue (Ave) Winnipeg, MB",Sunrise Sunset Child Care Inc.
1021,102069,(204) 414-8617,WINNIPEG,Point Douglas,WILLIAM WHYTE,WINNIPEG SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,5,None,Family or Group Child  Care Home *
1022,102510,(204) 505-3516,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,7,None,Syeda Batool
1023,7032,(204) 925-1692,WINNIPEG,Downtown,WEST BROADWAY,WINNIPEG SCHOOL DIVISION,Centre,"Infant, Preschool, School Age",Weekdays,64,"276 Colony Street Winnipeg, MB ",Taking Charge! Inc.
1024,9348,(204) 783-4912,WINNIPEG,ST. JAMES ASSINIBOINE,WESTWOOD,ST.JAMES-ASSINIBOIA SCHOOL DIV,Home,"Infant, Preschool, School Age",Weekdays,6,None,Family or Group Child  Care Home *
1025,9711,(204) 255-7244,WINNIPEG,ST. VITAL,RIVER PARK SOUTH,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
1026,100718,(204) 688-0845,WINNIPEG,ST. VITAL,PULBERRY,LOUIS RIEL SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,None,Family or Group Child  Care Home *
1027,50375,(204) 663-9269,WINNIPEG,Transcona,MISSION GARDENS,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool",Weekdays,5,None,Family or Group Child  Care Home *
1028,50689,(204) 668-5135,WINNIPEG,River East,SPRINGFIELD NORTH,RIVER EAST TRANSCONA SCHOOL DIVISION,Home,"Infant, Preschool, School Age",Weekdays,8,"185 Sun Valley Drive Winnipeg, MB ",Terry Van Roose
